,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,a,antuk,v,to *ram s.t. (e.g. a head) against a flat vertical surface <*knock> ; to *bargain over s.t.; to *haggle over s.t. (the price),alengo abdl muantuki si muksn di dinding| Just now Abdul knocked Muksin's head,,,perhaps a codeword,,antuk akang,,,,
,a,antuk,v,to *ram (s.t.) against,,,,,,baantu-antukang,,,,
,a,antuk,vi,to *rattle against e.o. (e.g. bottles in a box being moved),,,,,,naantuk,,,,
,a,antuk,vi,to be,,,,,,,,,,
,a,anyir,vi,foul *smelling; *malodorous (of rotten fish),,,,,,,,,,
,a,anyir,n,codeword for *fish,,,,,,anyiri,,,,
,a,anyir,v,to *ferment s.t. (e.g. bait fish  because the strong smell will attract other fish.),,,,,fishing,,,,,
,a,anyjal,,,,,,,,anyjal akang,,,,
,a,anyjal,v,to *slam~down,Kau baolo-olo. Sodo ku anyjal akang kau. |You've been mocking me.  How about if I,,,,,baanyjal,,,,
,a,anyjal,vi,to slam o.s. down (e.g. of pouting children),,,,,,naanyjal,,,,
,a,anyjal,vi,*slam|med down; *drop|ped,Papangku hakembang naanyjal po napiak. |One of my planks got dropped and split,,,,,,,,,
,a,anyut,v,to *drift; to be *adrift,,,,,,anyut akang,,,,
,a,anyut,v,to set s.t. *adrift,,,,,,baanyut,,,,
,a,anyut,vi,to *move by allowing o.'s boat to be carried in a current,,,,,naut,,,,,
,a,a$2,part,*you~know; emphatic marker,,,,,,,,,,
,a,aolas,n,k.o. *tree yielding timber,,,,,tree,,,,,
,a,a$3,,,,,a:,,,,,,,
,a,apa-,n,*possession; *property; *thing,apamu |your possession,,,,,,,,,
,a,apa-apar,n,*flotsam (when it is afloat),,,mboyat,,,,,,,
,a,apabila,conj,*when,,,,,,,,,,
,a,apabila,pr,*when,apabila kam balampo de indomut| When are you going to Indomut?,,,,,,,,,
,a,apadua,pn,*half,,,sapadua,,,,,,,
,a,apang,n,k.o. cup *cake baked in an oven,,,,,food,,,,,
,a,api,n,*fire ; *light; *taper,,,,,nat phen,,,,,
,a,apit,num con,*stack; a counter for pieces of thatch,,,,,,,,,,
,a,apit,v,to *squeeze between two objects,,,,,,apiti,,,,
,a,apit,v,to tie s.t. together tightly for s.o.,apiti otap | to fasten together several pieces of thatch,,,,,apit akang,,,,
,a,apit,v,to *fasten s.t. at s.o.'s request,,,,,,baapit,,,,
,a,apit,vi,to work at fastening into tight stacks ; to be squeezed into a narrow space,,,,,,baapitang,,,,
,a,apit,vi,to be squeezed close to another or a few others; e.g. to walk very closely together,,,,,,babaapitang,,,,
,a,apit,vi,to be seated or lying in a constricted space (of several people); e.g. of several children,,,,,,apit-apit,,,,
,a,apit,n,a *utensil; usually of bamboo; to smoke or roast fish; a *grill,,,,,utensil ; culinary,naapit,,,,
,a,apit,vi,to be *constrict|ed; *narrow,,,,,,,,,,
,a,ap,pr,*what ; *what *else; what more ; is  it the case? ; *something ; codeword for *sugar ; codeword for *salt ; codeword for *condiments and *chili peppers ; whatever; *whatsoever ; It's *no~problem; *nothing whatsoever,ap ka kau pauli singga di kampung| Is it the case that you can stop in the village? ; tahasil akang ap yang musi taparl| Let us produce s.t. which we necessarily require.,,,a sentence initial question-marker; based on an Indonesian form,,ap-ap ; ape-p,ape/ dang ; ape/ ka ; ape/ mamisa ; ape/ parata ; ape/ rangata ; ape/-ape/ moyo,,,
,a,ap,pr,*whatever,,,bunape/ ; kape/,,,,,,,
,a,arabp,n,k.o. single-stringed musical instrument <*fiddle>,,,,,,,,,,
,a,arak,n,*alcohol|ic *beverage,,,,,,,,,,
,a,arang,n,*charcoal,,,,,,,,,,
,a,arart,n,k.o. *plant with *rhizome|s; *arrowroot; [%*Maranta~arundinacea |],,,,,plant,,,,,
,a,arat,vi,*tight; *taut,bo sabua kita arat | united we are firm,,,,,arat-arat,,,,
,a,arat,adv,*tightly; very tightly,basalng kau yogo mupabua ia muikat arat-arat| If you want to make it; fasten it very,,,,,paarati,,,,
,a,arat,v,to *tighten (a cinch; etc.) ; to draw together; to *strengthen the bonds of friendship; etc.,Kamai tapaarati pasaruma:ngina kita | Come! Let us strengthen this friendship of ours,,,,,,,,,
,a,ari,n,*day,dua ari | two days ; ari bapaguna:ng de masigit | a day for working at the mosque,,,,,,,,,
