,h,hw,ps,df,il,gc,crm,sc,sf,af,id,lw,sd,sb
,k,kukuhi,,,,,,,,bakukuhi,,,,
,k,kukuhi,vi,to *collect bit by bit and then *sell,,,,,,,,,,
,k,kukuhua$1,ideo,*sound of rooster *crow|ing,,,,,,bakukuhua,,,,
,k,kukuhua$1,vi,to *crow,,,,,,,,,,
,k,kukuhua$2,,,,,,,,bakukuhua,,,,
,k,kukuhua$2,vi,to *float on o.'s back,,,,,,,,,,
,k,kukurai,,,,,lao,,,,,,,
,k,kulat,n,*fungus; *mushroom; fam. *Agaricaceae ; k.o. *fungus growing on dead branches ; k.o. ridge *fungus ; k.o. *mushroom [%*Volvaria~|sp.] ; k.o. *mushroom ; k.o. *mushroom; *straw~mushroom; [%*Volvariella~volvacea |] ; k.o. *mushroom; the *white~mushroom; [%*Agaricus~bisporus|] ; k.o. *mushroom; [%*Volvaria~|sp.],,,kaladede ; talingang tikus,,,,kulat batang ; kulat bintang ; kulat ambulung ; kulat guntur ; kulat bongkona ; kulat payung ; kulat nggaeka,,,
,k,kuli,,,,,kulit ; lao kuli paser,,,,,,,
,k,kuliling,v,to go around s.t.; to *encircle s.t. <*circumambulate>,,,,,,kulilingi,,,,
,k,kuliling,v,to go around s.t. for s.o.,alengo aku kulilingi lipo ni baumang nggaeka| Just now I went round the whole village,,,,,bakuliling,,,,
,k,kuliling,vi,to engage in moving in circles,,,,,,pakulilingi,,,,
,k,kuliling,v,to completely encircle s.t. (for a specific purpose),,,,,,,,,,
,k,kulinycir,,,,,,,,kulinycir akang,,,,
,k,kulinycir,v,to cause to *slide quickly,,,,,,nakulinycir,,,,
,k,kulinycir,vi,*slippery ; to have *slipped,,,,,,,,,,
,k,kulit,n,*skin ; *cover; *exterior *wrapping ; *bark (of tree),kulimu | your skin ; buk kulita |book cover,,,,,,,,,
,k,kulung,,,,,tabang kulung,,,,,,,
,k,kulung-kaling,n,*ankle,,,,,,,,,,
,k,kumang,n,k.o. small *louse; order *Phthiraptera ; *germ,,,,,insect ; health,,,,,
,k,kumatar,vi,to be *ill; to be *sick ; to *shiver from malarial attacks,pasi kumatar sigodo bagarak| They're so sick they're shivering.,,,,health,,,,,
,k,kumbar,n,sago *midrib|s or *petiole; esp. when dried,,,,,sago,,,,,
,k,kumis kucing,n,various k.o. *plant|s; incl. [%*Orthosiphon~spicatus|],,,,,plant,,,,,
,k,kumkm,n,various k.o. *pigeon|s and *dove|s <*bird>; fam. *Columbidae ; k.o. *pigeon <*bird>; fam. Columbidae ; k.o. *pigeon; [%*Ducula~|sp.] <*bird> ; k.o. *pigeon; [%*Ducula~|sp.] <*bird>,,,,,bird ; bird ; bird ; bird,,kumku/m nggoa ; kumku/m puti ; kumku/m ratu,,,
,k,kunda,n,k.o. *tree,,,,,plant,,,,,
,k,kundal,n,k.o. *vegetable dish made of unripe bananas and coconut cream,,,,,food,,,,,
,k,kuning,,,,,akar kuning,,,,,,,
,k,kuntil,v,to *pinch s.o. or s.t.,,,sakuntil,,,,,,,
,k,kunu,part,*purportedly; *it~is~said <*quoth> ; *supposedly (of s.t. reported but probably not true),Kunu tala taurung. | He says he's hungry. ; hasila ra: kita ini ni batikang kunu kalero itu hasil dikit| Its yield is great; but we here,*quotative~particle,kata$1,,,,,,,
,k,kung-kung,ideo,the sound made by a dog; the *bark of a dog,,,mano/ng,,,,,,,
,k,kunyci,n,*key,,,,,,kunyci akang,,,,
,k,kunyci,v,to *lock s.t.,,,,,,,,,,
,k,kunyit$1,vi,*yellow,,,,,,pakunyiti,,,,
,k,kunyit$1,v,to yellow s.t.; to increase the yellowness of s.t. (e.g. paint being mixed),,,kunyit$2,,color,,,,,
,k,kunyit$2,n,k.o. *rhizome (used as a *spice); *turmeric; [%*Curcuma~longa|],,,kunyit$1,,plant,,,,,
,k,kupang,n,*coin; *money,,,tikus kupang,Arch.,,,,,,
,k,kupang-kupang,n,k.o. woody *plant; the *candlestick~cassia; [%*Cassia~alata|],,,jaga sataru,,plant,,,,,
,k,kupu-kupu,n,*butterfly; order *Lepidoptera,,,kopo-kopo,,insect,,,,,
,k,kurang,vi,to *fall~short; to be *insufficient,,,,,,,,,,
,k,kurang,adv,*less~than,,,,,,kurang akang,,,,
,k,kurang,v,to reduce s.t. at s.o.'s request,,,,,,bakurang,,,,
,k,kurang,vi,to become diminished,,,,,,pakurangi,,,,
,k,kurang,v,to *diminish s.t.; to *reduce or *lessen s.t.,ipakurangi de laina barisi de laina| He diminishes in one area but in another area there is,,,,,kurang-kurang,,,,
,k,kurang,part,*at~least,,,,,,kakurangang,,,,
,k,kurang,n,*shortage; *shortfall,,,,,,,,,,
,k,kurang ajar,excl,*Damn~you!,,,,,,,,,,
,k,kurang ajar,vi,extremely *rude,,,,a strong derogatory term,,kura-kurang ajar,,,,
,k,kurang ajar,vi,*immodest; *off-color (of o.'s speech),,,,,,bakurang ajar,,,,
,k,kurang ajar,vi,to *behave improperly or immodestly,,,,,,,,,,
,k,kuranyci,n,k.o. *tree,,,,,plant,,,,,
,k,kurap,n,k.o. skin *disease; *ringworm; fungal *disease caused by members of division,,,,,health,,,,,
,k,kurarap,,,,,,,,bakurarap,,,,
,k,kurarap,vi,to *creep on o.'s belly,,,,,,,,,,
,k,kurcaci,n,k.o. small *spirit; *gnome,,,,,spiritual,,,,,
,k,kuring-kuring,,,,,lao kuring-kuring,,,,,,,
,k,kuriwang,n,sago *bark,,,,,sago,,,,,
,k,kurung,v,to *enclose; to *imprison,Ia mukurung anasene de ruma. |He made his child stay at home.,,,,,bakurung,,,,
,k,kurung,vi,to *stay at home; to be *house~bound ; to *enclose and *catch bait-fish with nets,,,,,fishing,,bakurung umpang,,,
,k,kurup,v,to *strangle s.o. with both hands,,,komos ler ; sangal,,,kurup akang,,,,
,k,kurup,v,to *strangle s.o. at another's request,,,,,,bakurapang,,,,
,k,kurup,vi,to *strangle e.o.,,,,,,,,,,
,k,kurus,vi,*thin,,,,,,,,,,
,k,kurn,n,the *Quran ; (in) a Quranic *reading or *recitation,,,,,spiritual,,kuran dalama,,,
,k,kusuk,vt,to *pulverize s.t. by pressing the heel of the palm against it; esp. sago flour through a ; to rub vigorously by pressing down with the heel of the palm ; to *rub o.'s eyes (esp. with the heel of the palm),kusuk pakeang| to rub laundry to remove stains,,,,,kusuki,kusuk mata,,,
,k,kusuk,v,to rub or pulverize (by rubbing) s.t. for s.o.,,,,,,kusuki akang,,,,
,k,kusuk,v,to rub or pulverize s.t. at s.o.'s request,,,,,,kusuk akang,,,,
,k,kusuk,v,to rub or pulverize s.t. at s.o.'s request,,,,,,bakusuk,,,,
,k,kusuk,vi,to engage in rubbing,bakusuk baku| to filter sago flour by forcing coarse flour through a sieve,,pambusukang,,,,,,,
,k,kutil,n,*freckle ; *birthmark; esp. of protruding fleshy *growth|s; such as *mole|s,,,,,body,,,,,
,k,kutuk,,,,,bakutuk,,,,,,,
,k,kuyap,vi,*wrinkled (of clothes),,,,,,nakuyap-kuyap,,,,
,k,kuyap,vi,*wrinkled up; full of wrinkles ; *matted (of hair),Buoka ia nakuyap-kuyap. | His hair is matted.,,,,,,,,,
,k,kwas,n,*paint*brush,,,,,,bakwas,,,,
,k,kwas,vi,to apply *whitewash ; to *paint,,,,,,,,,,
,l,la,vet,*don't,La kau muala | Don't take it,,cece,,,,,,,
,l,la:,part,*so~then,Muala pondoku la: kusasa. |Get my shirt so I can wash it.,,,,,,,,,
,l,labung,n,*squash; [%*Cucurbita~|sp.] ; *pumpkin or *winter~*squash; [%*Cucurbita~moschata|] ; k.o. long *squash,,,,,plant ; plant ; plant,,labung mbulat ; labung tinggi,,,
,l,labu$1,n,certain k.o. *squash and *chayote; *Cucurbitaceae ; *chayote; [%*Sechium~edule|],,,,,plant ; plant,,labu siang,,,
,l,labu$2,,,,,,,,labu akang,,,,
,l,labu$2,vt,to *anchor s.t.,Mulabu akang nyjong itu inycana. |Anchor the boat there.,,,,,balabu,,,,
,l,labu$2,vi,to be *anchored,,,,,,labuang,,,,
,l,labu$2,n,*anchorage,,,,,,,,,,
,l,labur,vt,to *smear,,,,,,laburi,,,,
,l,labur,vt,to *smear (oil; etc.) on to s.t.,,,,,,,,,,
,l,lacup,v,to *pass by,manusia ka daya balapetak ilarang pauli mo lacup| Persons going inland to work at their,,,,,,,,,
,l,lacup,part,already *past (of events) ; *after that,Oras jamangku skola daulu tala lacup. |My schooling days are past.,,,,,lacupi,lacup dari itu,,,
,l,lacup,vt,to *pass by s.t.,kau mulacupi tanyjong mangga| Go past Mangga Cape.,,,,,,,,,
,l,lado,n,k.o. small *moray the *starry~*reef-*eel; [%*Echidna~nebulosa|] ; some k.o. *sea~*snake|s; suborders *Serpentes and *Ophidia,,,,,sea creature,,,,,
,l,ladu,n,various k.o. *root|s and *tuber|s; similar to *taro; edible *aroids or *corm ; k.o. edible *aroid; *new~cocoyam; [%*Xanthosoma~violaceum|] ; k.o. *aroid with reddish roots,,,,,plant ; plant ; plant,,ladu makang anak ; ladu sela,,,
,l,ladusere,n,younger *step-sister or *step-brother,,,watok,possibly a codeword,,,,,,
,l,laga,,,,,,,,lagai,,,,
,l,laga,v,to *coil (e.g. a string on a spool),,,,,,laga akang,,,,
,l,laga,v,to cause s.t. or s.o. to go in *circle|s,mulaga akang ia| Make him go in circles (so he won't catch you).,,,,,lalaga:kang,,,,
,l,laga,v,to *twist around; to *deceive,Sido mulalaga:kang si ahmat| Sido deceived Ahmat.,,,,,laga-laga akang,,,,
,l,laga,v,to twist s.t. around,,,,,,balaga,,,,
,l,laga,vi,to *spin ; to go around; to *circle; to *circulate,surat-surat de kapal udara balaga de kampung dalama| Leaflets from the planes,,mata balaga,,,balaga-laga,,,,
,l,laga,vi,to go in *circle|s,,,,,,balaga-laga akang,,,,
,l,laga,vi,to be in the practice of *deceiving s.o.,,,mata balaga,,,,,,,
,l,laga-laga,n,k.o. *tree bearing edible *fruit,,,,,plant,,,,,
,l,lagu,n,*song,,,,,,,,,,
,l,lahtala,,,,,ompu lahtala,,,,,,,
,l,lai,v,to *scoop up fish with a triangular *net fixed across two crossed poles forming an x-,,,,,fishing,lai akang,,,,
,l,lai,v,to *scoop in such a way at s.o.'s request,,,,,fishing,balai,,,,
,l,lai,vi,to be engaged in *net|ting,,,,,fishing,lai-lai,,,,
,l,lai,n,k.o. triangular *net affixed to an x-shaped frame,,,,,fishing,,,,,
,l,laila:,excl,*Heavens!; exclamation of *disbelief,,,,,,,,,,
,l,laina,pn,the *other one,,,,,,lalaina,,,,
,l,laina,pn,the *others,yo anu de lalaina tala mo| Well; are the whatchamacallits at the others' place still not,,malaing,,,,,,,
,l,laka,n,k.o. *tree; *alexandrian~*laurel; [%*Calophyllum~inophyllum|],,,,,plant,,,,,
,l,laka-laka$1,n,k.o. *flower,,,,,plant,,,,,
,l,laka-laka$2,n,k.o. *bird; the white *cockatoo ; k.o. *bird; perhaps a *swallow; fam. *Hirundinidae,,,laulaka ujang,,,,laka-laka ujang,,,
,l,lakar,n,a *twist of cloth *coil|ed on o.'s head for resting burdens on,,,,,,,,,,
,l,lakat$1,v,to *strike ; to strike up a *conversation ; to strike up a conversation <*discuss>,,,,,,balakatang,lakat babicara ; lakat bacarita,,,
,l,lakat$1,vi,to hit e.o.,,,,,,,,,,
,l,lakat$2,,,,,,,,lakati,,,,
,l,lakat$2,v,to stick s.t. to some place,lakati gambar kata de dinding| Stick (tape) a picture up on the wall.,,,,,lakat akang,,,,
,l,lakat$2,vt,to *stick s.t. at s.o.'s request,,,,,,balakat akang,,,,
,l,lakat$2,vi,to engage in putting things together with adhesives,aku balakat akang buk| I was busy glueing a book.,,malakat,,,,,,,
,l,laki$1,n,*husband,lakina urang| s.o. else's husband,,,,,balaki,,,,
,l,laki$1,vi,to be *married (of women); to have a husband,,,,,kinship,laki-laki,,,,
,l,laki$1,n,*male; *man ; a term in *plant~nomenclature,masarang laki-laki| k.o. palm,,,,,,,,,
,l,laki$2,n,k.o. *tree; [%*Barringtonia~asiatica|],,,,,plant,,,,,
,l,laksa,n,k.o. translucent *noodle; similar to *vermicelli,,,,,,,,,,
,l,lakukang,vt,to *do s.t.; to *perpetrate s.t.,,,,,,,,,,
,l,laku$1,adv,*very,paotang laku| excessively heavy,,,,,,,,,
,l,laku$2,v,to *sell~well; to do a *brisk~*trade,,,,,,,,,,
,l,lalagakang,,,,,laga,,,,,,,
,l,lalagar,n,the lower horizontal structural members which support the *planking of a bed,,,pigis,,,,,,,
,l,lalaina,,,,,laina,,,,,,,
,l,lalakut,,,,,nggaeka lalakut,,,,,,,
,l,lalampa,n,k.o. round *savory *cake of rice and fish wrapped in banana leaf and roasted,,,,,food,,,,,
,l,lalas,v,to *caress,,,,,,lalasi,,,,
,l,lalas,v,to *caress s.o. or s.t.,Ia mulalasi buoka. |She caressed his hair.,,,,,babalalas akang,,,,
,l,lalas,vi,to *caress e.o.,Song babalalas akang song.| One caressed the other.,,,,,,,,,
,l,lalasang,n,k.o. large device to sift sand or gravel <*sieve> ; k.o. *sifter with a screen mesh bottom ; a wire *sifter or sieve for sago flour,,,pamusukang,,utensil ; utensil,balalasang,lalasang kawat,,,
,l,lalasang,vi,to be engaged in sifting s.t.,,,,,,,,,,
,l,lalat,n,*fly; order *Diptera ; k.o. *fly; the *blue~bottle~fly; perhaps of the genus *Calliphora ; k.o. black *fly ; k.o. red *fly,,,,,insect ; insect ; insect ; insect,,lalat ijo ; lalat nggoa ; lalat sela,,,
,l,lalondang,n,*sugarcane; [%*Saccharum~officinarum|] ; k.o. *sugarcane favored by the %luring |bird ; k.o. large *sugarcane,,,,,plant ; plant ; plant,,lalondang luring ; lalondang bangke,,,
,l,lal,n,lice *crusher; esp. of bamboo,,,,(for personal grooming),utensil,,,,,
,l,lalp,n,k.o. *ray; the *stingray; [%*Urolophus~testaceus|] ; k.o. *ray; the *blue-spotted~*fantail~ray; [%*Taeniura~lymna|] ; k.o. *ray; the *long-tailed~ray; [%*Himantura~uarnak|] ; k.o. *ray; the *spotted~*eagle-ray; [%*Aetobatus~narinari|],,,,,fish ; fish ; fish ; fish,,lalo/p bintang ; lalo/p cacebar ; lalo/p manuk,,,
,l,lamak,vi,*delicious; *oily and *nutty,,,,,,palamaki,,,,
,l,lamak,v,to add oil to s.t.,,,,,,,,,,
,l,lamari,n,*cupboard; *armoire,,,kas,,,,,,,
,l,lamas,vi,to be on the verge of *drown|ing ; to be beyond o.'s ken or strength; to be *overwhelmed ; to be vastly *outsized; e.g. when trying on clothing far too large,,,,,,lamas akang,,,,
,l,lamas,v,to drown or *sink s.t. or s.o.,,,,,,,,,,
,l,lamaurat,vi,to be nearly *starv|ed to death <*hungry>,,,,,,palamaurati,,,,
,l,lamaurat,v,to cause s.o. to be hungry; to keep food from s.o.,,,,,,,,,,
,l,lambak,n,*ravine; *chasm,,,oru-oru,,geography,,,,,
,l,lambar,num con,*sheet; counter for paper; books; etc.,Kuala bukimu salambar? | How about if I take one of your books?,,,,,balambar-lambar,,,,
,l,lambar,vi,to be arranged in numerous sheets,,,,,,,,,,
,l,lambat,vi,*slow|-moving ; *tardy; *late,,,,,,lambati,,,,
,l,lambat,v,to *delay s.o.,Kau mulambati aku bapaguna:ng. | You're delaying me from my work.,,,,,palambati,,,,
,l,lambat,v,to reduce the speed of s.t.; to slow s.t. down,,,,,,,,,,
,l,lambe,vi,to *wave; to *beckon,,,,,,lambe akang,,,,
,l,lambe,v,to *beckon s.o. at another's request,,,,,,,,,,
,l,lampa,vi,*straight,,,,Arch,,,,,,
,l,lampa:ng,n,*vegetable; esp. cooked dishes of boiled foods that contain vegetables; i.e. noodles; ; k.o. *culinary preparation in which sliced vegetables are *saute|ed with very little oil,,,garu,,food,,lampa:ng garu,,,
,l,lamt,n,k.o. flat *cake of cassava and palm sugar; wrapped in banana leaf,,,,,food,,,,,
,l,landasan,n,*basis ; *airfield; *landing~trip,,,,from Indonesian,,,,,,
,l,lande,vi,*shallow,,,,,,,,,,
,l,lano,n,*residue; *renderings from making coconut oil,,,lanyjar,,culinary,,,,,
,l,lano-lano,n,*marrow,,,,,body,,,,,
,l,lanos,vi,*wither|ed (due to heat),,,,,,palanosi,,,,
,l,lanos,v,to cause s.t. to wither by *heat|ing it,,,,,,,,,,
,l,lantoro,n,k.o. *tree; [%*Leucaena~glauca|],,,,,plant,,,,,
,l,langgamang,n,*sensation preceding a fever attack; *chills indicating the onset of *illness,,,,,health,,,,,
,l,langgar$1,v,to *pass~by,,,,,,langgari,,,,
,l,langgar$1,v,to *pass~by s.t.,Alengo kulanggari pasar sunyi manusia mo. |Just now I passed by the market; it was,,,,,,,,,
,l,langgar$2,n,an Islamic *prayer~house,,,masigi/t,,spiritual,,,,,
,l,langi-langit,n,*palate,,,,,,,,,,
,l,langit,n,*sky,,,,,nat phen,,,,,
,l,langkap,v,fully *equipped; fully *furnished ; *complete,,,,,,,,,,
,l,langker,pn,*he; *him,deminy basalng kita tolu nang langker babose hakali barikang| How about if he and,respectful third person singular term of reference for older men,,,,,,,,
,l,langker,n,male *elder; older *man; male *adult,si jafar mubei langker itu dodol| Jafar gave the man some durian cake.,,karukus,,,,,,,
,l,langkuas,n,k.o. *ginger; used as a *spice; the greater *galangal; [%*Languas~galanga|],,,,,plant,,,,,
,l,langsung,adv,*straightaway ; without deviation or interuption; *straight,tapasang kaca nang langsung seng hakali| We put in the glass and straightaway the zinc ; kau muli langsung de ruma| Are you going straight home?,,bobuena,,,,,,,
,l,lanycat-lanycat,n,k.o. *tree,,,,,plant,,,,,
,l,lanyjar$1,n,*dregs after frying fish; *residue of scorched *fragment|s,,,lano,,culinary,,,,,
,l,lanyjar$2,v,to *loosen (of kite strings); to *slacken (ropes),,,,,,lanyjari,,,,
,l,lanyjar$2,v,to slacken s.t. for s.o.,,,,,,,,,,
,l,lanyjar$2,v,to slacken s.t. at s.o.'s request,,,,,,balanyjarang,,,,
,l,lanyjar$2,vi,to be *criss-crossed and *tangled in a kite fight,filinggir dua balanyjarang ianta| Two kites are crossed there in a kite fight,,,,,palanyjari,,,,
,l,lanyjar$2,v,to slacken s.t. (kite lines) in order to compete with another kite,,,,,,lanyjar-lanyjar,,,,
,l,lanyjar$2,vi,*loose (of strings) ; *slack; *easy-going,lanyjar-lanyjar hadiki mo kau| Don't you ever loosen up a little?,,kalanyjarang ; haria,,,,,,,
,l,lao,n,*fish ; k.o. *fish; the *sea-horse; possibly the *low-crowned~*sea-horse; ; k.o. *fish ; k.o. *fish; the *feather-fin~*bullfish or the *pennant~*coralfish; ; various k.o. *fish found in coral reef environments ; k.o. *fish; possibly the *sand~*bass [%*Psammoperca~waigiensis|] ; k.o. brilliantly colored *fish; the *Venus~*tusk-fish or the *blue~*parrot; ; k.o. *fish; possibly the *blue~*tusk-fish; {%*Choerodon~albigena|] ; k.o. striped fish; [%*Choerodon~| sp.] ; k.o. *fish; ; k.o. very small *fish; similar to %ma:s| ; k.o. *fish; the *porcupine~fish; [%*Diodon~hystrix|] ; k.o. red *fish with large eyes ; k.o. *fish; a *threadfin; probably the *colonial~*salmon; ; k.o. *fish; a *herring; [%*Harengula~| sp.] ; k.o. *fish; the *flying~fish; [%*Cypsilurus~| sp.] ; k.o. *fish; the *painted~*sweetlips or *morowong; [%*Spilotichthys~pictus|] ; k.o. *fish; the *tuskfish; [%*Choerodon~|sp.] ; k.o. *fish; the *purple~*tusk-fish or *grass~*parrot; [%*Choerodon~cephalotes|] ; k.o. *fish; the *black-spot~*tusk-fish; [%*Choerodon~schoenleinii|] ; k.o. *food consisting of *fish boiled in salt and a souring agent (%mawe|) ; k.o. *fish; the *ring-tailed~*surgeon-fish; [%*Acanthurus~xanthopterus|] ; k.o. white and black *fish ; the time when fish feed <*feeding~times> ; a *time when fish are easily caught ; k.o. *fish; a *scad; perhaps the *horse~*mackerel; [%*Trachurus~declivis|] or ; *dugong; *sea~cow; [%*Dugong~dugong|] ; k.o. light colored *fish ; k.o. *fish ; k.o. black; thick-skinned *fish with a small mouth ; k.o. *fish; the *peacock~*damsel-fish or *sapphire~*demoiselle; ; k.o. *fish; possibly the *red~morwong;[%*Cheilodactylus~fuscus|] ; k.o. *fish; the *iodine~*bream or the *collared~*sea-bream; ; k.o. *fish; the *black-banded~*kingfish; [%*Seriolina~nigrofasciata|] ; k.o. *fish; similar to the *garfish ; k.o. *fish similar to  *mackerel ; k.o. *catfish; order *Siluriformes ; k.o. *fish; a *rabbitfish; possibly the *golden-lined~*spinefoot; ; k.o. *fish; the *two-banded~*Anemone~fish; [%*Amphiprion~akindynos|] ; k.o. *fish; the *hairtail; [%*Trichurus~savala|] ; k.o. *fish; the *wolf~herring or *knife-fish; [%*Chirocentrus~dorab|] ; k.o. *fish ; k.o. food made of dried fish pounded into small pieces or fragments,lao ndule | roasted fish,,aliofa ; alu alu ; anasage ; ane/i ; awakang ; balanak ; balukus ; bambano/t ; bibisang ; bigo ; bukuraci ; butu cina ; cacawilu ; cambaekat ; dalise ; daun baru ; dolosi ; gaca ; ginogi ; gogo lobo ; ilik ; iyu ; kabila ; kakalentik ; kapa-kapas ; kapala madang ; kapala togor ; koco-koco ; kokorai ; kolouno ; korat ; kotong ; kuisi ; lalo/p ; lolot ; lompa ; lompa-lompa ; lopi ; lopu ; lumpa-lumpat ; malaing ; mame/s ; maosik ; ma:s ; mata buku ; mata mambar ; mbaurat ; modalo karang ; mofil ; momar ; nanggoap ; ndaeping ; nggupi ; nonda ; nguti-nguti ; ondal ; pampang ; pangga ; papi/ ; pogot ; pulang-pulang ; puyu-puyu ; raja bau ; rantasi ; ruma-ruma ; sagalu/: ; salamanetu ; saradina ; sidar ; sikuda ; siloang ; singarok ; siwi ; soga ; sogili ; sorihi ; sulang ; sumbilang ; suo ; suru ; tampar puki ; tanggiri ; tatambola ; titiora ; toang ; tolap ; tolouro ; tontong ; totuko ; turumpe/t ; uhi ; utur ; wang,,fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fishing ; fish ; sea creature ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish ; fish,,lao ajarang ; lao bandang ; lao bandera ; lao batu ; lao bini ; lao boki ; lao boki ijo ; lao boki baistrep ; lao boki sela ; lao busukang ; lao duriang ; lao gora ; lao idung lamak ; lao ikur angus ; lao inggap ; lao jawa-jawa ; lao kakatua ; lao kakatua biru ; lao kakatua ijo ; lao kiri/ng ; lao kuli paser ; lao kuring-kuring ; lao mamakanga ; lao mati ; lao mbora ; lao nduyung ; lao  nggura-nggurat ; lao noru ; lao papi: ; lao papua ; lao puka ; lao puti ; lao raci ; lao roya ; lao ruma-ruma ; lao susumbilang ; lao tajang ; lao tampalong ; lao tatar ; lao tatar batulang ; lao tatar sabel ; lao tutuk,,,
,l,lap,v,to *slap s.o.,,,,Casual,,,,,,
,l,lapangan,,,,,lapangang,,,,,,,
,l,lapangang,,*airfield ; *airfield ; *airfield; *landing~strip,,,,,,lapangang udara,lapangang kapal udara ; lapangang terbang,,,
,l,lapas,vi,to be *released,,,,,,lapas akang,,,,
,l,lapas,v,to *release s.t.,,,,,,nalapas,,,,
,l,lapas,vi,to be accidentally *released or *removed,Sandaliku nalapas. | My sandals came off.,,,,,,,,,
,l,lapetak,n,*garden at some distance from o.'s house; *swidden ; swidden in secondary forest ; swidden in primary forest,,,,,,balapetak,lapetak jurame ; lapetak kayuang,,,
,l,lapetak,vi,to *cultivate the land; to work in o.'s garden,,,,,,,,,,
,l,lapisan,n,*layer,,,,,,,,,,
,l,lap-lap,n,*dishtowel; *napkin,,,,,,,,,,
,l,lapor,vi,to report o.s.; to present o.s. to fulfill a certain requirement,basalng talapor mo; tapabua tu kira-kira deminy itu| If we do not report; how do you,,,,,,,,,
,l,lapor,v,to *report s.t.,,,,,,,,,,
,l,lapt,n,,,,,,,,,,,
,l,lawang$2,,,,,kayu lawang,,,,,,,
,l,lawr,vi,to *walk aimlessly; to travel around to no specific purpose; to *wander,,,,,,,,,,
,l,laf,vi,*confused; *forgetful; *flighty ; *drunk,,,,esp. as a codeword among certain young speakers,,,,,,
,l,lebe,,,,,lebi,,,,,,,
,l,lebi,n,*more ; *first of all (in a sequence) ; it would be *better ; *even~more; all the *more~so,tatapi tala pake senso sabap senso lebi capt| But we already use chainsaws because ; lebi majang balampo ka taala suligi| You had better go off and maybe get a sharpened ; sero ia tama lebi sisa| As for a stationary fish trap; they (fish) go in in even greater,,lemajang,,,,lebi daulu ; lebi majang ; lebi sisa,,,
,l,lecak,n,*earth; *soil ; *sand; esp. granules that get into o.'s house; sand mixed with dirt on the streets ; *land; esp. as property; *real~estate ; *clay,tatanyai itu lecak puang si lecaka ini| We ask first about the land; whose land is this?,,katang,,,,lecak bata,,,
,l,lefo,n,an abbreviated; learner's version of the *Quran,,,,,spiritual,,,,,
,l,lefo,vi,to *write,,,,,,lefoi,,,,
,l,lefo,vt,to *write s.t. for s.o.,,,,,,balefo,,,,
,l,lefo,vi,to engage in writing,,,,,,palefoang,,,,
,l,lefo,n,writing instruments ; s.t. written; a *text,,,,,,,,,,
,l,leger,n,*curb,,,,,,,,,,
,l,lele,,,,,,,,lele akang,,,,
,l,lele,vt,to *bend s.t. into a *curve (e.g. to make an *arch),,,,,,nalele,,,,
,l,lele,vi,to be *bent in a curve (e.g.; to *arch because of heavy weights on each side; to *sag,,,,,,,,,,
,l,lelempe,n,k.o. *pancake of *sago flour,,,,,food ; sago,,,,,
,l,leleng,n,o. who joins in cooperative work; s.o. who helps at a ritual meal <*server> <*helper>,,,,,,baleleng,,,,
,l,leleng,vi,to *help at a ritual meal; to *participate in a community or family task,,,,,,,,,,
,l,lem,excl,*yes,,,jo,(polite),,,,,,
,l,lemajang,part,it would be *better,Lemajang kau babose ka da:. |You'd better paddle back to shore. ; lemajang pabua kalero| It's better to build a bonfire.,,majang,,,,,,,
,l,lema-lema,n,k.o. *rope|s (used for sails) ; the lower *rigging of sails ; the upper *rigging of sails,,,,,boat ; boat ; boat,,lema-lema bini-bini ; lema-lema laki-laki,,,
,l,lembong,,,,,,,,lembong akang,,,,
,l,lembong,vt,to cause s.t. to *drift in the wind (by cutting a kite's line; by tossing sheets of paper in the air; etc.),,,,,,balembong,,,,
,l,lembong,vi,to *waft in the wind; to be *borne on an updraft,,,,,,,,,,
,l,lena,v,to *woo s.o.; to go with s.o.,Kulena ia. |I'm courting her.,,,,,balena,,,,
,l,lena,vi,to be *court|ing ; to be *flirtatious,,,,,,,,,,
,l,lendang,,,,,bido lendang,,,,,,,
,l,lengit,vi,to *disappear,,,,,,lengit akang,,,,
,l,lengit,vt,to cause s.t. or s.o. to *disappear,Musu yang hadiki mulengit akang musu yang barisi.| A handful of enemies cause a,,,,,balengit,,,,
,l,lengit,vi,to make o.s. scarce; to *disappear from the scene; to *vanish,Puda muala pondona nang tala balengit | Puda took his shirt and disappeared,,rigap,,,lengi-lengit,,,,
,l,lengit,vi,to *appear and to *disappear,manusia lengi-lengit | disappearing folk,,,,,,,,,
,l,lengit,n,*twilight; nearly *dark; uncertain *vision,,,,,,,,,,
,l,leo,,,,,,,,baleo-leo,,,,
,l,leo,vi,to be *cover|ed with water; to be *flood|ed (of a surface),,,,,,,,,,
,l,lepa,n,the plaited sago leaf exterior and interior of a *sago-meal~container,,,babat ; tali oi,,,,,,,
,l,lepa-lepa,n,k.o. small *dug-out,,,nyjong,,boat,,,,,
,l,leper,n,*spoon ; *shovel or *spade ; *bail|ing tool made of *bamboo,,,,,utensil ; tool,,,,,
,l,lepik,v,to *place s.t. *under s.t.,Botangi ia de itu mulepik puang. |Before you put it there; put s.t. under it.,,,,,lepik akang,,,,
