0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
90,alimamayang,noun,"kind of luminescent centipede, class Chilopoda",,,,,,,,,,,,,,,,insect,,"alilipang, calumeme",,
91,alimarang,particle,last night,,,,,,,,,,,,,,,,,,ari malang,,
92,alimpapat,noun,"firefly, fam. Lampyridae, ladybug",,,,,,,,,,,,,"Lampyridae, ladybug, fam. Coccinellidae",,,insect,,,,
93,alimposuk,noun,"whale, order Cetacea",,,,,,,,,,,,,,,,sea creature,,"posuk, paus-paus",,
94,alinamung,noun,"a sea plant, with clusters of strap-like leaves",,,,,,,,,,,,,,,,plant,,,,
95,alinang kalo,noun,"kind of snake, probably the flat sea snake,",,,,,,,,,,,,,Pelamis platurus,,,sea creature,,ular,,
96,alintangang,noun,the cross-beam supporting ceiling boards,,,,,,,,,,,,,,,,house,,lintang,,
97,alinggoi,noun,"kind of lizard, perhaps, kind of lizard, perhaps a chameleon,",,,,,,,,,,,,,"Mabouya multifasciata, Calotes",,,animal,,,,
98,aliofa,noun,"kind of large, pink fish, remarkable for its long tongue",,,,,,,,,,,,,,,,fish,,,,
99,Allah,noun,God,,,,,,,,,,,,,,,,,,"alahumadafa/, insallah, ompu lahtala, ya ala, ya ilahi",,
100,almanangkir,noun,the two angels who question the spirit of the dead,,,,,,,,,,,,,,,,spiritual,,"mungkar, nakir, malaekat",,
101,almanák,noun,calendar,,,,,,,,,,,,,,,,,,tanggal,,
102,almarhúm,noun,"the deceased, the late, a sobriquet attached to the name of the dead",almarhiúm pa umar,"Mr. Umar, the deceased",,,,,,,,,,,,,,,,"mati-mati, aruaha",,
103,alolang,noun,twine (esp. o. made of palm fiber),,,,,,,,,,,,,,,,,,,,
104,alolong,,,,,,,,,,,,,,,,,,,,datuk,,
105,alu,noun,mortar,,,,,,,,,,,,,,,,,,,,
106,alu-alu,noun,"kind of fish, barracuda,",,,,,,,,,,,,,"Agrioposphyranea barracuda, possibly, Sphyraena   as well",,,fish,,,,
107,alu-alungang,noun,wave,,,,,,,,,,,,,,,,natural phenomenon,,suru-surung,,
108,alus,intransitive verb,"small, fine",,,,,,,,,,,,,,,,,,,alusa,
109,alus,noun,"very fine substance, particle, dust, the small one",,,,,,,,,,,,,,,,,,,alu-alus,
110,alus,intransitive verb,"very fine, extremely small",ujang alu-alus,a very light shower,,,,,,,,,,,,,,,,,,
111,aman,intransitive verb,"peaceful, at peace",jadi rencana alengo itu gagal karna tala aman,"Thus, that plan of theirs failed because it",,,,,,,,,,,,,,,,,,
112,amas,noun,gold,,,,,,,,,,,,,,,,,,,,
113,amas tampawang,,,,,,,,,,,,,,,,,,,,mas tampawang,,
114,amasing kali,noun,a village somewhat inland from Labuha's north side,,,,,,,,,,,,,,,,place name,,,,
115,amasing kota,noun,"the northeastern side of Labuha, where most Bacan speakers reside",,,,,,,,,,,,,,,,place name,,,,
116,ambasaya,noun,"peasant, common folk (without a palace rank)",,,,,,,,,,,,,,,archaic,society,,,,
117,ambat,verb,"to erect obstructions, to dam a river, to cast a net (in order to block a school of fish) in a certain direction",Ambat ka kairi,Cast lefthand,,,,,,,,,,,,,,,,,ambati,
118,ambat,verb,to obstruct s.t.,,,,,,,,,,,,,,,,,,,amba-ambat,
119,ambat,noun,"sago midribs added to the sides of a boat to deflect waves, a temporary strake, any obstruction, temporary door, etc.",,,,,,,,,,,,,,,,sailing,,,,
120,ambaya,conjunction,"when, at the time that, at the beginning",Ambaya ujang pasi batodu de jojaga.,"When it began to rain, they sought shelter in a","ambaya motor itu kapo de ini, kami barikang","When the motorboat arrives here, we will",,,,,,,,,,,,,,,,
121,ambon,noun,"an island, Ambon",,,,,,,,,,,,,,,,,,,,
122,ambulung,noun,"sago palm,",bakaya de siá ambulunga,You're going to process sago flour at whose sago palms?,,,,,,,,,,,Metroxylon,,,sago,,,,"ambulung duri puti \df kind of sago palm with pale green thorns \sf  sago, ambulung licing \df kind of thornless sago palm, with very sharp leaves \sf  sago, ambulung pulutang \df kind of large sago palm \sf  sago, ambulung nggani \df kind of sago palm bearing little pith but harvested for its midribs and bark \sf  sago, ambulung sike/ \df kind of sago palm \sf  sago, ambulung soang \df kind of large sago palm \sf  sago, ambulung tirus \df kind of sago palm with a tapering base \sf  sago \crm  baku \crm bakaya"
123,aming,,,,,,,,,,,,,,,,,,,,ga aming,,
124,amo,noun,"kind of tree bearing edible fruit, the breadfruit,",,,,,,,,,,,,,Artocarpus altilis,,,,Malay,bakar,,
125,ampa,,,,,,,,,,,,,,,,,,,,ampat,,
126,ampar,verb,"to open up, to spread out (e.g., a sheet, a mat, etc.)",,,,,,,,,,,,,,,,,,,ampari,
127,ampar,verb,to spread s.t. out for someone,Ampari aku tikar.,Spread a mat for me.,,,,,,,,,,,,,,,,,ampar akang,
128,ampar,verb,to spread s.t. out (at someone's request),,,,,,,,,,,,,,,,,,,baampar,
129,ampar,intransitive verb,"to be spread out, to sleep indiscriminately on the floor",Ari malang kami tidu baampar.,Last night we slept on mats.,,,,,,,,,,,,,,,,,naampar,
130,ampar,intransitive verb,"fallen down (of broad flat objects, e.g. a sheet of plywood or zinc roofing)",,,,,,,,,,,,,,,,,,,,
131,ampas,verb,to strike down,,,,,,,,,,,,,,,,,,,,
132,ampas,noun,sediment,te ampasa,tea dregs,,,,,,,,,,,,,,,,,ampasi,
133,ampas,verb,to fall on s.t. or someone,Kayu muampasi rumana.,A tree fell on his house.,,,,,,,,,,,,,,,,,naampas,
134,ampas,intransitive verb,"to trip and to fall, to have collapsed",barang ribut kapé nang kayu naampas,"Because of the typhoon, what else?, the trees",,,,,,,,,,,,,,,,,naampasi,
135,ampas,verb,to have fallen on s.t.,,,,,,,,,,,,,,,,,,,,
136,ampat,numeral,four,,,,,,,,,,,,,,,,,,,,
137,ampong,noun,"forgiveness (esp. of someone of higher status), absolution",Harap ampong de kami dangang.,We hope you'll forgive us.,,,,,,,,,,,,,,,,,,
138,amporing,noun,"kind of legume (requiring boiling), rice bean,",,,,,,,,,,,,,Vigna umbellata,,,food,,,,"amporing ijo \df kind of bean, mung bean, \sn Vigna radiata \sf  food, amporing kayu \df kind of bean \df kind of vine, \sn Vigna marina \sf  food, amporing paisu \df kind of vine \sf  plant, amporing sela \df kind of red bean \sf  food, amporing tanggalaot \df kind of shrub, \sn Tephrosia purpurea \crm  biraro \crm  kacang \sf  plant"
139,ampunokang,,,,,,,,,,,,,,,,,,,,mampunokang,,
140,ampung,,,,,,,,,,,,,,,,,,,,ampong,,
141,amuk,,,,,,,,,,,,,,,,,,,,mangamuk,,
142,amál,noun,"good works, good deeds",,,,,,,,,,,,,,,,,,,,
143,ana seni,noun,"children, youth, kids",ini ana seni sakarang basaláng pasi duduk bangaji ilakat bacarita,"Kids nowadays, if",,,,,,,,,,,,,,,,,,
144,ana-anadara,intransitive verb,"immature, not full-grown (of trees)",,,,,,,,,,,,,,,,,,,,
145,anagakang,verb,to pawn s.t.,,,,,,,,,,,,,,,,,,,anagakangi,
146,anagakang,verb,to pawn s.t. for someone,kau muanagakangi radioku ini hadiki,Please pawn my radio for me.,,,,,,,,,,,,,,,,,anagakang akang,
147,anagakang,verb,to pawn s.t. at someone's request,,,,,,,,,,,,,,,,,,,baanagakang,
148,anagakang,intransitive verb,to engage in pawning,ia tala rugi po ia baanagakang binina amasa,He suffered a financial loss and then took,,,,,,,,,,,,,,,,,,
149,anak,noun,"child, offspring",anaku,my child,perna bawali inycana muba: anaka sondor surat,Once Bawali over there was traveling,,,,,,,,,,,,kinship,,,,"anak aono \df first child, eldest child, anak dede \df baby, infant, anak hara/m jada \df illegitimate child <bastard>, anak kamanakang \df nephew, niece \crm  kamanakang, anak kambar \df twin \crm  kambar, anak piatu \df motherless child, orphan, anak piara \df foster-child, adopted child, anak tiri \df step-child, anak watok \df step-child, anak yati/m \df fatherless child, orphan, anak yati/m piatu \df orphan, with both parents dead, anaka rodak \df miscarriage \sf  health \af  baranak \ps  vi \df to give birth, to have a baby \af  paranak akang \ps  v \df to give birth to someone \crm  losung anaka \crm  ana seni \crm  andeket \crm  paranakang \crm  saparnakang \crm  sapasanakang"
150,anam,numeral,"six, esp. in compounds",anam ratus,six hundred,anam pulu,sixty,,,,,,,,,,,,,,anang,,
151,anandeket,,,,,,,,,,,,,,,,,,,,andeket,,
152,anang,numeral,six,anang ari,six days,,,,,,,,,,,,,,,,anam,,
153,anasage,noun,"kind of fish, the Dart or Swallowtail,, incl.",,,,,,,,,,,,,Trachinotus blochi,,,fish,,,,
154,andaing,,,,,,,,,,,,,,,,,,,,adaing,,
155,andap,verb,to peek,,,,,,,,,,,,,,,,,,,andapi,
156,andap,verb,to peek at someone,,,,,,,,,,,,,,,,,,,andap akang,
157,andap,verb,to peek at someone at the request of another,Kuandap akang andeket haiku de ruma palika.,I peeked at a kid on the side of the,,,,,,,,,,,,,,,,,baandap,
158,andap,intransitive verb,to engage in peeking and peeping,,,,,,,,,,,,,,,,,,,,
159,ande-ande,noun,"popular term, esp. a codeword, catchword, nickname",,,,,,,,,,,,,,,,,,,ande-ande akang,
160,ande-ande,verb,"to provide a nickname, to label someone",Kuande-ande akang ia,I gave him an unflattering nickname,,,,,,,,,,,,,,,,,,
161,ande-ande,conjunction,if,ande-ande saiku lima pulu ...,If one fish is fifty (rupiah)...,,,,,,,,,,,,,,,,,,
162,andeket,noun,"a young person, youth",andeket jawa ini katakutang,This Javanese youth became frightened.,,,,,,,,,,,,,,,,anak,,
163,anei,noun,"kind of sea fish, incl. Coral trout and Tiger trout,",,,,,,,,,,,,,Plectropoma maculatum,,,fish,,,,
164,aniaya,verb,"to ruin s.t., to beat someone thoroughly",manusia muaniaya itu kaleronta,"Someone ruined it, our bonfire",,,,,,,,,,,,,,,,,,
165,antara,preposition,between,antara fini nang fini,between planting seeds,,,,,,,,,,,,,,,,mamananga,,
166,antaranya,,,,,,,,,,,,,,,,,,,,di antaranya,,
167,antarjiwa,noun,kind of bird,,,,,,,,,,,,,,,,bird,,,,
168,antawali,noun,"kind of plant used in preparing bitter, medicinal concoctions, ,",,,,,,,,,,,,,Tinospora tuberculata,,,plant,,,,
168,antawali,noun,"kind of plant used in preparing bitter, medicinal concoctions, ,",,,,,,,,,,,,,Tinospora tuberculata,,,food,,,,
169,anti,noun,opposite,,,,,,,,,,,,,,,casual,,,,,
170,antimung,noun,"cucumber,",,,,,,,,,,,,,Cucumis sativus,,,plant,,,,"antimung puti \df wax-gourd, \sn Benincasa hispida \sf  plant, antimung ompu ruma \df kind of vine bearing red fruit, \sn Melothria heterophylla \sf  plant, antimung japa/ng \df chayote, \sn Sechium edule \crm  labu siang \sf  plant \sf  food"
170,antimung,noun,"cucumber,",,,,,,,,,,,,,Cucumis sativus,,,food,,,,"antimung puti \df wax-gourd, \sn Benincasa hispida \sf  plant, antimung ompu ruma \df kind of vine bearing red fruit, \sn Melothria heterophylla \sf  plant, antimung japa/ng \df chayote, \sn Sechium edule \crm  labu siang \sf  plant \sf  food"
171,antuk,,,,,,,,,,,,,,,,,,,,,antuki,
172,antuk,verb,"to ram s.t. (e.g. a head) against a flat vertical surface <knock>, to bargain over s.t., to haggle over s.t. (the price)",alengo abdúl muantuki si muksín di dinding,Just now Abdul knocked Muksin's head,,,,,,,,,,,,,codeword,,,,antuk akang,
173,antuk,verb,to ram (s.t.) against,,,,,,,,,,,,,,,,,,,baantu-antukang,
174,antuk,intransitive verb,to rattle against e.o. (e.g. bottles in a box being moved),,,,,,,,,,,,,,,,,,,naantuk,
175,antuk,intransitive verb,to be,,,,,,,,,,,,,,,,,,,,
176,anyir,intransitive verb,"foul smelling, malodorous (of rotten fish)",,,,,,,,,,,,,,,,,,,,
177,anyir,noun,codeword for fish,,,,,,,,,,,,,,,,,,,anyiri,
178,anyir,verb,to ferment s.t. (e.g. bait fish  because the strong smell will attract other fish.),,,,,,,,,,,,,,,,fishing,,,,
179,anyjal,,,,,,,,,,,,,,,,,,,,,anyjal akang,
180,anyjal,verb,to slam down,Kau baolo-olo. Sodo ku anyjal akang kau.,You've been mocking me.  How about if I,,,,,,,,,,,,,,,,,baanyjal,
181,anyjal,intransitive verb,to slam o.s. down (e.g. of pouting children),,,,,,,,,,,,,,,,,,,naanyjal,
182,anyjal,intransitive verb,"slammed down, dropped",Papangku hakembang naanyjal po napiak.,One of my planks got dropped and split,,,,,,,,,,,,,,,,,,
183,anyut,verb,"to drift, to be adrift",,,,,,,,,,,,,,,,,,,anyut akang,
184,anyut,verb,to set s.t. adrift,,,,,,,,,,,,,,,,,,,baanyut,
185,anyut,intransitive verb,to move by allowing o.'s boat to be carried in a current,,,,,,,,,,,,,,,,natural phenomenon,,,,
186,a,particle,"you know, emphatic marker",,,,,,,,,,,,,,,,,,,,
187,aolas,noun,kind of tree yielding timber,,,,,,,,,,,,,,,,tree,,,,
188,a,,,,,,,,,,,,,,,,,,,,a:,,
189,apa-,noun,"possession, property, thing",apamu,your possession,,,,,,,,,,,,,,,,,,
190,apa-apar,noun,flotsam (when it is afloat),,,,,,,,,,,,,,,,,,mboyat,,
191,apabila,conjunction,when,,,,,,,,,,,,,,,,,,,,
192,apabila,pronoun,when,apabila kamú balampo de indomut,When are you going to Indomut?,,,,,,,,,,,,,,,,,,
193,apadua,pronoun,half,,,,,,,,,,,,,,,,,,sapadua,,
194,apang,noun,kind of cup cake baked in an oven,,,,,,,,,,,,,,,,food,,,,
195,api,noun,"fire, light, taper",,,,,,,,,,,,,,,,natural phenomenon,,,,
196,apit,numeral classifier,"stack, a counter for pieces of thatch",,,,,,,,,,,,,,,,,,,,
197,apit,verb,to squeeze between two objects,,,,,,,,,,,,,,,,,,,apiti,
198,apit,verb,to tie s.t. together tightly for someone,apiti otap,to fasten together several pieces of thatch,,,,,,,,,,,,,,,,,apit akang,
199,apit,verb,to fasten s.t. at someone's request,,,,,,,,,,,,,,,,,,,baapit,
200,apit,intransitive verb,"to work at fastening into tight stacks, to be squeezed into a narrow space",,,,,,,,,,,,,,,,,,,baapitang,
201,apit,intransitive verb,"to be squeezed close to another or a few others, e.g. to walk very closely together",,,,,,,,,,,,,,,,,,,babaapitang,
202,apit,intransitive verb,"to be seated or lying in a constricted space (of several people), e.g. of several children",,,,,,,,,,,,,,,,,,,apit-apit,
203,apit,noun,"a utensil, usually of bamboo, to smoke or roast fish, a grill",,,,,,,,,,,,,,,,utensil,,,naapit,
203,apit,noun,"a utensil, usually of bamboo, to smoke or roast fish, a grill",,,,,,,,,,,,,,,,culinary,,,naapit,
204,apit,intransitive verb,"to be constricted, narrow",,,,,,,,,,,,,,,,,,,,
