no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
4595,tajang₃,verb,to sharpen something,,,,,,,,,,,,,,,,,,,,,,FALSE
4596,tajela,noun,"kind of earthenware bowl, esp. for sago porridge",,,,,,,,,,,,,,,,utensil,,sempe,,,,FALSE
4597,taji,noun,spur (of a fighting cock),,,,,,,,,,,,,,,,,,,,,,FALSE
4598,takanál,intransitive verb,"to be possessed by a spirit, to fall into a trance or illness due to spirit intrusion",,,,,,,,,,,,,,,,,,,,,,FALSE
4599,taki:,noun,"kind of sedge, white kyillinga",,,,,,,,,,,,,Cyperus kyllingia,,,plant,,,,taki: kanycing \df kind of grass \sf  plant \crm  kanycing,,FALSE
4600,taksír,transitive verb,to estimate,Taksír ambaya gagawang udara...,(We) estimated that by the time the air raid took place...,,,,,,,,,,,,,,,,,,,,FALSE
4601,taku₁,verb,"to transfer liquid from one container to another, to transfer something in general",,,,,,,,,,,,,,,casual,,,,takui,,,FALSE
4602,taku₂,verb,to transfer something ( a liquid) for someone,ia mutakui aku te sagalas,She poured a glass of tea for me,,,,,,,,,,,,,,,,,taku akang,,,FALSE
4603,taku₃,verb,to transfer something (liquid) at someone's request,,,,,,,,,,,,,,,,,,,bataku,,,FALSE
4604,taku₄,verb,"to transfer liquids as a task or profession, e.g. to regularly fill bathing basins with",,,,,,,,,,,,,,,,,,,bata-batakuang,,,FALSE
4605,taku₅,verb,"to transfer liquids for someone, to pour for someone (e.g. pour someone's beer in a restaurant)",,,,,,,,,,,,,,,,,,,pataku akang,,,FALSE
4606,taku₆,verb,to transfer liquids repeatedly (e.g. to pour water from one glass to another and back,,,,,,,,,,,,,,,,,,,nataku,,,FALSE
4607,taku₇,intransitive verb,to be spilled out,,,,,,,,,,,,,,,,,,"bataku-takuhe/r, wangi",,,,FALSE
4608,taku api,,,,,,,,,,,,,,,,,,,,nggaeka taku api,,,,FALSE
4609,tala,particle,"already, after, first of all, then, it's high time",tala kanyang,Are you full?,yo gigi tala moyo,"Yes, (my) teeth are gone already.",tala ipamicaki tala,They've repaired it already.,Tala aku balumbar mena kita balampone,"After I've bathed, let's gone",balumbar tala,Get going! Take your bath!,kawing tala,It's high time you got married!,,"a modal marking past activity, a presentential marker indicating an earlier event in a series, a sentence final marker indicating an event which should have already taken place",,,,,,"tala itu barenti \df afterwards, next (in a series of tasks) \il  tala itu barenti notai Next, ring (the trees)., tala nang badang \df pregnant \sc  Polite, tala mo tala \df anymore \il  ingatanmu tala mo tala  You don't have worries anymore",,FALSE
4610,talaga,noun,"pond, lake, shallow parts of the sea, shallow cove, shallows,  shoal",,,,,,,,,,,,,,,,geography,,,,,,FALSE
4611,talalu,intransitive verb,excessive,,,,,,,,,,,,,,,,,Malay,laku,,,,FALSE
4612,talang₁,verb,to swallow something,,,,,,,,,,,,,,,,,,,talangi,,,FALSE
4613,talang₂,verb,to swallow something for someone,,,,,,,,,,,,,,,,,,,talang akang,,,FALSE
4614,talang₃,verb,to swallow something at someone's request or completely,,,,,,,,,,,,,,,,,,,batalang,,,FALSE
4615,talang₄,intransitive verb,to regularly swallow,Kau tala batalang pel?,Have you taken your pill?,modél kumkím batalang nané,Like a dove swallowing a kanari nut (said of toothless,,,,,,,,,,,,,,,talang-talang,,,FALSE
4616,talang₅,verb,to swallow something in a series of swallows,,,,,,,,,,,,,,,,,,,,,,FALSE
4617,talang₆,,,,,,,,,,,,,,,,,,,,baku talang,,,,FALSE
4618,tala-tala,noun,"a springy post, jerked to draw water for the sago processing apparatus",,,,,,,,,,,,,,,,sago,,,,,,FALSE
4619,talaten,intransitive verb,disciplined,,,,,,,,,,,,,,,,,,,,,,FALSE
4620,talawár,intransitive verb,"to be capable, to have the necessary strength or resources",,,,,,,,,,,,,,,,,,,,,,FALSE
4621,tali oi₁,noun,"the fastening, made of sago palm midrib, which holds together the package into",,,,,,,,,,,,,,,,,,,,,,FALSE
4622,tali oi₂,numeral classifier,"a measure of sago, that is the amount encompassed by such a fastening",,,,,,,,,,,,,,,,,,,,,,FALSE
4623,talinana,noun,base upon which wood is chopped,,,,,,,,,,,,,,,,,,,,,,FALSE
4624,talinga,noun,ear,,,,,,,,,,,,,,,,body,,,,"talinga ompu ruma \df kind of fungus \crm  talingang tikus, talinga pokona \df the part of the neck behind the jaw and below the ear \sf  body",,FALSE
4625,talingang tikus,noun,"kind of fungus, the jelly fungus",,,,,,,,,,,,,Auricularia,,,,,kulat,,,,FALSE
4626,talise,noun,"kind of tree, the catapang or Indian almond",,,,,,,,,,,,,Terminalia catappa,,,plant,,,,talise kayuang \df kind of tree \sf  plant,,FALSE
4627,taluang,noun,earwax,,,,,,,,,,,,,,,,body,,,,,,FALSE
4628,taluke,noun,kind of seaside vine,,,,,,,,,,,,,Canavalia maritima,,,plant,,,,,,FALSE
4629,talupunggung,noun,kind of plant,,,,,,,,,,,,,Hedyotis,,,plant,,,,,,FALSE
4630,talák₁,noun,"the divorce formula, i.e. the words uttered by a man divorcing his wife",,,,,,,,,,,,,,,,,,,taláki,,,FALSE
4631,talák₂,verb,to divorce someone,,,,,,,,,,,,,,,,society,,,batalák,,,FALSE
4632,talák₃,verb,to be divorced,,,,,,,,,,,,,,,,society,,,,,,FALSE
4633,tama₁,intransitive verb,to enter,Tama ka mai.,Come on in.,,,,,,,,,,,,,,,,,,,,FALSE
4634,tama₂,verb,"to begin some task, to insert",tama bakaya,to begin processing sago,Bena raupi tama de babat tu,Then scoop it up and put it in the sago container,,,,,,,,,,,casual,,,,,"tama baompu \df to become a bondsman, to agree to servitude (e.g. to pay debts) \sc  Arch, tama long \df to develop a lung infection, to get bronchitis \sf  health \af  tamai \ps  v \df to go inside something with stealth, to enter something secretly, to infiltrate \il  Ma tamai rumaku. He got into my house (without my knowledge). \af  tama:kang \ps  v \df to put something inside (e.g., a pillow into a pillowcase), to insert \something \af  batama \ps  vi \df to result in something being inside, to engage in bringing something in <bring in> \il  aku batama buk de lotok I brought the book into the room. \il  ala lecak ianta batama Take the top soil and put it in (the hole). \af  batabatama:ng \ps  vi \df to be thoroughly interfitted, overlapping or mixed together \il  bararti batabatama:ng nang itu karang tapake alengo itu Thus, it becomes thoroughly intermixed with that coral we used that I mentioned. \af  batatama:ng \ps  vi \df intertwining (of roots, etc.) \af  batama:kang \ps  vi \df to put something inside on someone's behalf (e.g., to thread a needle for a farsighted person, to insert one's penis at the request of his partner) <insert> \il  batama:kang paisu de botol  Put water in the bottles \af  batama-tama:kang \ps  vi \df to interfit and intertwine (of many things) \df to mislead and misdirect to the point that those led are hopelessly lost \il  si marjuki mueti mo jalang po ibatama-tama:kang de iba-iba dalama  Marjuki didn't know the way so he got us hopelessly lost in a bamboo forest \crm  ala \af  patama akang \ps  v \df to put something inside in a thorough and careful manner",,FALSE
4635,tamará,noun,kind of conical sun hat,,,,,,,,,,,,,,,,clothing,,,,,,FALSE
4636,tamará bintang,noun,"kind of plant, the moneywort",,,,,,,,,,,,,Centella asiatica,,,plant,,,,,,FALSE
4637,tamate,noun,"kind of plant, the tomato",,,,,,,,,,,,,Lycopersicon esculentum,,,plant,,,,,,FALSE
4638,tamba₁,exclamation,please take more,,,,,,,,,,,,,,,,,,,tambai,,,FALSE
4639,tamba₂,verb,"to add something, to increase a quantity",Kutambai paisu de bak.,I added water to the basin.,isu: kutambai tuju pulu lima,He told me to add seventy-five (rupiah),,,,,,,,,,,,,,,tamba akang,,,FALSE
4640,tamba₃,verb,to add something at someone's request,,,,,,,,,,,,,,,,,,,batambai,,,FALSE
4641,tamba₄,intransitive verb,to be engaged in adding to,,,,,,,,,,,,,,,,,,,babatambai,,,FALSE
4642,tamba₅,intransitive verb,to be characterized by interfering in other's affairs or by adding opinions <interfere>,mahamut babatambai halina urang,Mahmud tends to add his opinion to others',,,,,,,,,,,,,,,,,bata-batamba:ng,,,FALSE
4643,tamba₆,intransitive verb,to add something to one another's possessions or problems,,,,,,,,,,,,,,,,,,,batatamba:ng,,,FALSE
4644,tamba₇,intransitive verb,"to jointly or mutually be engaged in adding, e.g., to add contributions to a joint",taslim nang si safi batatamba:ng batuka tep,Taslim and Safi pooled their resources to buy a tape recorder.,,,,,,,,,,,,,,,,,,,,FALSE
4645,tambaga,noun,brass,,,,,,,,,,,,,,,,,,,,,,FALSE
4646,tambalikur,intransitive verb,folded behind one's back (of the hands),,,,,,,,,,,,,,,,,,,,,,FALSE
4647,tambelo,noun,"kind of marine bivalve mollusc, the Teredo shipworm",,,,,,,,,,,,,Teredo navalis,,,,,,,,,FALSE
4648,tambi₁,verb,to insult and disrespect someone,pasi mutambi ia torus,They continuously pick on him.,,,,,,,,,,,,,,,,,bata-batambiang,,,FALSE
4649,tambi₂,intransitive verb,to continually exchange insults and slights,cece bata-batambiang de pamakanang dalama,Don't be belligerent and nasty at the dining table.,,,,,,,,,,,,,,,,,babatambiang,,,FALSE
4650,tambi₃,intransitive verb,to be insulting to someone,,,,,,,,,,,,,,,,,,,,,,FALSE
4651,tamboang,noun,kind of snare <trap> activated by a rattan spring,,,,,,,,,,,,,,,,,,lika-lika,,,,FALSE
4652,tambuku,noun,"knot (of wood), protrusions of lug in the hull of a boat for anchoring lines to the struts",,,,,,,,,,,,,,,,boat,,,,,,FALSE
4653,tamheo,noun,kind of plant,,,,,,,,,,,,,,,,plant,,,,,,FALSE
4654,tamiang,,,,,,,,,,,,,,,,,,,,aur,,,,FALSE
4655,tamoang,noun,axe,,,,,,,,,,,,,,,,tool,,,,,,FALSE
4656,tampa,noun,"place, site, container, receptacle",tampa paguna:ng,workplace,tala ada nang tampana,They are sold with their containers.,,,,,,,,,,,,,,,,"tampa dupa-dupa \df censer, tampa rasa \df male and female genitalia \sf  body \sc  Slang",,FALSE
4657,tampal₁,verb,to mend or patch something,,,,,,,,,,,,,,,,,,,tampal akang,,,FALSE
4658,tampal₂,verb,to patch something at someone's request,,,,,,,,,,,,,,,,,,,batampal,,,FALSE
4659,tampal₃,intransitive verb,"to engage in patching, to be patched up",,,,,,,,,,,,,,,,,,,tampa-tampal,,,FALSE
4660,tampal₄,intransitive verb,to be patched repeatedly,pondo tampa-tampal,patched shirt,,,,,,,,,,,,,,,,,,,,FALSE
4661,tampar₁,verb,to slap,,,,,,,,,,,,,,,,,,,tampari,,,FALSE
4662,tampar₂,verb,to slap (on a certain place),ia mutampari bangkurunga,He slapped his back.,,,,,,,,,,,,,,,,,batampar,,,FALSE
4663,tampar₃,intransitive verb,to engage in slapping,,,,,,,,,,,,,,,,,,,,batampar tangang \df to clap,,FALSE
4664,tampar puki,noun,"various kind of fish incl. most flounders, and soles",,,,,,,,,,,,,"Pleuronectidae, Bothidae, Soleidae",,,fish,,,,,,FALSE
4665,tampat,,,,,,,,,,,,,,,,,,,,tampa,,,,FALSE
4666,tampurung,noun,"coconut shell, the hard endocarp of the coconut",,,,,,,,,,,,,,,,,,tatampurung,,,,FALSE
4667,tamulilingang,intransitive verb,"nervous and hurried, e.g. rushing to look for something or pacing back and forth",,,,,,,,,,,,,,,,,,,,,,FALSE
4668,tamám,noun,"an even thirty, esp. of months",jadi ia tamám de saptí,"Thus, it will be a full month (an even thirty) on Saturday.",,,,,,,,,,,,,archaic,,,,,,,FALSE
4669,tamáng,noun,friend,,,,,,,,,,,,,,,,,Malay,saruma,,,,FALSE
4670,tana,noun,"earth, soil",,,,,,,,,,,,,,,,,Malay,lecak,,,,FALSE
4671,tanaga,noun,energy,,,,,,,,,,,,,,,,,,,,"tanaga manusia \df manpower, human resources",,FALSE
4672,tanak₁,verb,to render (coconut) into oil,Kikis nggaoti bena tanak minyak.,"Scrape the coconuts, then render some oil.",,,,,,,,,,,,,,,,,tanaki akang,,,FALSE
4673,tanak₂,verb,to render something (specified coconuts) at someone's request,,,,,,,,,,,,,,,,,,,batanak,,,FALSE
4674,tanak₃,intransitive verb,to be engaged in rendering oil from coconuts,,,,,,,,,,,,,,,,,,,,,,FALSE
4675,tanam₁,,,,,,,,,,,,,,,,,,,,,tanamang,,,FALSE
4676,tanam₂,noun,crop,,,,,,,,,,,,,,,,,,tanang,,,,FALSE
4677,tanang₁,intransitive verb,"relaxed, calm and quiet, calm (of the sea)",itu baawarong ka tanang,So was it choppy or calm?,,,,,,,,,,,,,,,,,patanangi,,,FALSE
4678,tanang₂,verb,to calm something (one's thoughts),,,,,,,,,,,,,,,,,,,patanangi akang,,,FALSE
4679,tanang₃,verb,to calm something at someone's request,,,,,,,,,,,,,,,,,,,,,,FALSE
4680,tanang₄,transitive verb,to plant something,dadi kami parlí tu musi tanang tirigu,"So we need it, we must plant corn.",,,,,,,,,,,,,,,,,tanangi,,,FALSE
4681,tanang₅,transitive verb,"to plant something for someone, to plant something (a field) with something (a crop)",ia mutanangi aku sakulát de lapetaku,He planted cacao for me in my garden.,ia tala mutanangi lapetaka ia nang nggaeka,He has planted his garden with bananas.,,,,,,,,,,,,,,,tanangi akang,,,FALSE
4682,tanang₆,verb,to plant something at someone's request,,,,,,,,,,,,,,,,,,,tanang akang,,,FALSE
4683,tanang₇,verb,to plant something at someone's request,,,,,,,,,,,,,,,,,,,batanang,,,FALSE
4684,tanang₈,intransitive verb,to engage in planting as a task or job,,,,,,,,,,,,,,,,,,,,,,FALSE
4685,tanda,noun,sign,,,,,,,,,,,,,,,,,,,,,,FALSE
4686,tanduk,noun,animal horn,,,,,,,,,,,,,,,,,,,,manyjangang tanduka \df deer antlers \crm  nggaeka tanduk,,FALSE
4687,tandíng,ideophone,sound of something crashing,,,,,,,,,,,,,,,,,,,,,,FALSE
4688,tanoga,noun,kind of spell which immobilizes a thief as soon as he or she touches the item to be stolen,,,,,,,,,,,,,,,,,,uru,,,,FALSE
4689,tantu,intransitive verb,to be certain,,,,,,,,,,,,,,,,,,tantukang,,,,FALSE
4690,tantukang,verb,"to ascertain, to determine",,,,,,,,,,,,,,,,,Indonesian,tantu,,,,FALSE
4691,tantung,,,,,,,,,,,,,,,,,,,,ulat,,,,FALSE
4693,tanga malang,noun,"late night, midnight",,,,,,,,,,,,,,,,,,,,tanga malang dua sama \df very late night,,FALSE
4694,tangang,noun,"hand, arm",tanang dadana,pai,,,,,,,,,,,,,,,,,,,,FALSE
4695,tanggalaot,noun,sea,,,,,,,,,,,,,,,,geography,,,,tanggalaot dolong \df the deep sea,,FALSE
4696,tanggaló₁,,,,,,,,,,,,,,,,,,,,,tanggaló akang,,,FALSE
4697,tanggaló₂,verb,to wash (another's) face,,,,,,,,,,,,,,,,,,,batanggaló,,,FALSE
4698,tanggaló₃,verb,to wash (one's face),,,,,,,,,,,,,,,,,,,,,,FALSE
4699,tanggar₁,verb,"to chase or pursue someone or something, to follow someone from a distance, to catch up on something",Yoyó mutanggar manyjangang.,A dog chased a deer.,nampisiang mena kutanggar,Then tomorrow I will catch up (on the work),,,,,,,,,,,,,,,tanggari,,,FALSE
4700,tanggar₂,verb,"to chase after someone, to lunge at someone",,,,,,,,,,,,,,,,,,,tanggari akang,,,FALSE
4701,tanggar₃,verb,to chase after someone with something,tanggari akang suratku ini de pa puda,Please chase after Mr. Puda with this letter of,,,,,,,,,,,,,,,,,tanggar akang,,,FALSE
4702,tanggar₄,verb,to expedite something that belongs with some set,Umar mutanggar akang pondo dua biji ni de amasing,"Umar, try to rush these two",,,,,,,,,,,,,,,,,batanggar,,,FALSE
4703,tanggar₅,intransitive verb,to be engaged in chasing after and catching up,,,,,,,,,,,,,,,,,,,bata-batanggarang,,,FALSE
4704,tanggar₆,intransitive verb,"to chase someone, to be in competition <compete> with others",po ini kita batabatanggarang nang lao mamakanga ni,"Moreover, we're racing against",,,,,,,,,,,,,,,,,,,,FALSE
4705,tangge-tangge₁,noun,riddle,,,,,,,,,,,,,,,,,,,batangge-tangge,,,FALSE
4706,tangge-tangge₂,intransitive verb,to tell riddles,,,,,,,,,,,,,,,,,,,,,,FALSE
4707,tanggiri,noun,"kind of fish, the mackerel, incl. the narrow-barred Spanish mackerel, and the broad-barred Spanish mackerel",,,,,,,,,,,,,"Cybium commersoni, Indocybium semifasciatum",,,fish,,,,,,FALSE
4708,tanggolo₁,,,,,,,,,,,,,,,,,,,,,tanggo-tanggolona,,,FALSE
4709,tanggolo₂,noun,"isolated place, remote area",,,,,,,,,,,,,,,,,,,,,,FALSE
4710,tanggulang₁,,,,,,,,,,,,,,,,,,,,,tanggulangi,,,FALSE
4711,tanggulang₂,verb,"to take something over, to be responsible for something <control>",,,,,,,,,,,,,,,,,Indonesian,,tanggulangang,,,FALSE
4712,tanggulang₃,noun,"responsibility, duty",,,,,,,,,,,,,,,,,,,,,,FALSE
4713,tanggung₁,verb,to carry something on one's shoulder or shoulders,,,,,,,,,,,,,,,,,,,tanggungi,,,FALSE
4714,tanggung₂,verb,to place something (a burden) on someone's shoulders,,,,,,,,,,,,,,,,,,,tanggung akang,,,FALSE
4715,tanggung₃,verb,to carry something on one's shoulders on behalf of another,,,,,,,,,,,,,,,,,,,pananggungang,,,FALSE
4716,tanggung₄,noun,carrying pole borne on the shoulders,,,,,,,,,,,,,,,,,,,,,,FALSE
4717,tangkes₁,verb,"to parry a blow, to meet a blow with a counter-blow",,,,,,,,,,,,,,,,,,,tangkes akang,,,FALSE
4718,tangkes₂,verb,to parry something (a blow) at someone's direction or on someone's behalf,,,,,,,,,,,,,,,,,,,batangkes,,,FALSE
4719,tangkes₃,intransitive verb,to engage in parrying,,,,,,,,,,,,,,,,,,,bata-batangkesang,,,FALSE
4720,tangkes₄,intransitive verb,to parry someone's blows,,,,,,,,,,,,,,,,,,,,,,FALSE
4721,tangkorak,noun,skull,,,,,,,,,,,,,,,,body,,,,,,FALSE
4722,tangkoring,noun,"kind of plant, the Mexican sunflower",,,,,,,,,,,,,Tithonia diversifolia,,,plant,,fofoki tangkoring,,,,FALSE
4723,ta-₁,verb,,tabaria,to defecate involuntarily,,,,,,,,,,,,an affix marking inadvertant occurrences,,,,,,,,FALSE
4724,tanyai,verb,"to ask something, to direct a question to someone, to question someone",kau mutanyai aku waktu daulu deminyá,You ask me how the old times were.,,,,,,,,,,,,,,,,,,,,FALSE
4725,tanyjik,noun,dorsal fin,,,,,,,,,,,,,,,,,,,,,,FALSE
4726,tanyjung,noun,"cape, promontory",,,,,,,,,,,,,,,,,,,,,,FALSE
4727,tanyjung mangga,noun,a cape near Labuha,,,,,,,,,,,,,,,,,,,,,,FALSE
4728,tanyjung obit,noun,a cape near Labuha,,,,,,,,,,,,,,,,,,,,,,FALSE
4729,ta-₂,pronoun,we,Kita yogo tapabua lapetak.,We want to make a garden.,,,,,,,,,,,,"verbal person marker (transitive), first person plural, inclusive",,,,,,,,FALSE
4730,taogi,,,,,,,,,,,,,,,,,,,,bobot taogi,,,,FALSE
4732,tapa,pronoun,"why, for what purpose",Tapa kau balampo ka sana?,Why did you go there?,,,,,,,,,,,,,,,,,,,,FALSE
4733,tapak,noun,a small lane or gangway,,,,,,,,,,,,,,,,,,,,,,FALSE
4734,tapalí,noun,"kind of vine, the sap of which may be used as soap",,,,,,,,,,,,,,,,plant,,,,,,FALSE
4735,tapat₁,intransitive verb,"correct, precise, appropriate",,,,,,,,,,,,,,,,,,,tapat akang,,,FALSE
4736,tapat₂,verb,to improve something,,,,,,,,,,,,,,,,,,,patapati,,,FALSE
4737,tapat₃,verb,to correct or repair something,,,,,,,,,,,,,,,,,,,tapat-tapat,,,FALSE
4738,tapat₄,adverb,"carefully, with circumspection",,,,,,,,,,,,,,,,,,,,,,FALSE
4739,tapi,conjunction,but,,,,,,,,,,,,,,,,,Malay,ke,,,,FALSE
4740,taping₁,noun,"ash, dust, kitchen, place of the hearth",,,,,,,,,,,,,,,,,,,bataping,,,FALSE
4741,taping₂,intransitive verb,"to be covered with ashes, to yield ashes",bataping ra:,to yield a lot of ashes,,,,,,,,,,,,,,,,,,,,FALSE
4742,tapis,noun,"filter, esp. on sago  processing apparatus",,,,,,,,,,,,,,,,,,,,tapis nggaoti \df kind of strainer made of coconut fiber \ps  v \df to winnow or filter something \af  tapis akang \ps  v \df to filter something at someone's request \il  tapis akang topongingku Filter my flour \af  batapis \ps  vi \df to be engaged in winnowing or filtering,,FALSE
4743,tapu,noun,anchor (made of wood and stone),,,,,,,,,,,,,,,,boat,,,,,,FALSE
4744,tarang₁,transitive verb,to press down,,,,,,,,,,,,,,,,,,,tarang akang,,,FALSE
4745,tarang₂,verb,to make something flat by pressing or treading (e.g. to flatten sago sheaths in order to make,,,,,,,,,,,,,,,,,,,batarang,,,FALSE
4746,tarang₃,intransitive verb,to engage in flattening or pressing down (e.g. of a child mischievously jumping on a,,,,,,,,,,,,,,,,,,,,,,FALSE
4747,tarangkat₁,intransitive verb,tall,,,,,,,,,,,,,,,,,,,patarangkati,,,FALSE
4748,tarangkat₂,verb,to elevate or heighten something,,,,,,,,,,,,,,,,,,,,,,FALSE
4749,tarapesa,noun,chair,,,,,,,,,,,,,,,,,,,,,,FALSE
4750,tarate,noun,lotus,,,,,,,,,,,,,Nelumbo nucifera,,,plant,,,,,,FALSE
4751,taraucit₁,intransitive verb,to have diarrhea,,,,,,,,,,,,,,,,health,,baria,tarauciti,,,FALSE
4752,taraucit₂,transitive verb,to defecate on something (because of a sudden attack of diarrhea),,,,,,,,,,,,,,,,,,,,,,FALSE
4753,tarik₁,transitive verb,"to pull at something, esp. with a rope",,,,,,,,,,,,,,,,,,,tariki,,,FALSE
4754,tarik₂,transitive verb,"to pull at something for someone, to tug intensively",pasi mutariki itu pauli moyo,They (the fish) tug at them but they achieve nothing.,,,,,,,,,,,,,,,,,tarik akang,,,FALSE
4755,tarik₃,verb,to pull something at someone's request,,,,,,,,,,,,,,,,,,,batarik,,,FALSE
4756,tarik₄,intransitive verb,"to stretch someone, to be engaged in pulling",,,,,,,,,,,,,,,,,,,batariki,,,FALSE
4757,tarik₅,intransitive verb,to engage in pulling for someone,kami batariki oto de amasing barang nalobong,We pulled a vehicle at Amasing,it was,,,,,,,,,,,,,,,,patariki,,,FALSE
4758,tarik₆,verb,to make something (a rope) taut,,,,,,,,,,,,,,,,,,,patarik akang,,,FALSE
4759,tarik₇,verb,to tauten something at someone's request,,,,,,,,,,,,,,,,,,,natarik,,,FALSE
4760,tarik₈,intransitive verb,"to be drawn to, to be interested",,,,,,,,,,,,,,,,,,,,,,FALSE
4761,tarima,verb,to receive,,,,,,,,,,,,,,,,,,dapa,,,,FALSE
4762,tarimakasi,noun,"thanks, gratitude",,,,,,,,,,,,,,,,,,,,,,FALSE
4763,tarkuku,noun,"kind of bird, a dove, fam. Columbidae",,,,,,,,,,,,,,,,,,pombo,,,,FALSE
4764,tarpaksa₁,intransitive verb,"compelled, obligated, forced",,,,,,,,,,,,,,,,,,,,,,FALSE
4765,tarpaksa₂,particle,necessarily,,,,,,,,,,,,,,,,,,,,,,FALSE
4766,tartíp,intransitive verb,"to sit, kneeling with the haunches on the heels",,,,,,,,,,,,,,,,,,,,,,FALSE
4767,tarumpak,noun,kind of wooden sandals with a knob for the toes,,,,,,,,,,,,,,,,,,,,,,FALSE
4768,taráng,intransitive verb,"clear, bright",,,,,,,,,,,,,,,,,,,,,,FALSE
4769,tasbé₁,noun,prayer beads,,,,,,,,,,,,,,,,,,,,,,FALSE
4770,tasbé₂,noun,"kind of plant, a member of the banana family, the hanging heliconia",,,,,,,,,,,,,Heliconia rostrata,,,plant,,,,,,FALSE
4771,tas₁,noun,bag,,,,,,,,,,,,,,,,,,,,,,FALSE
4772,tas₂,,,,,,,,,,,,,,,,,,,,litas,,,,FALSE
4773,tatabuang₁,noun,"drum-roll to announce the beginning and end of fasting month and certain other, a blow","basaláng de rekengang udang, tatabuang memang de ahát",If we follow the monthly,,,,,,,,,,,,,whimsical,,,,,,,FALSE
4774,tatabuang₂,verb,to strike someone,,,,,,,,,,,,,,,whimsical,,,,,,,FALSE
4775,tatagang,noun,"lime, calcium oxide (usually made from burned coral)",,,,,,,,,,,,,,,,,,,,,,FALSE
4776,tatak₁,verb,to chop up (finely),,,,,,,,,,,,,,,,,,,tataki,,,FALSE
4777,tatak₂,verb,to chop something up for someone,tataki aku edat hadiki,"Chop up some seviche for me, please.",,,,,,,,,,,,,,,,,tataki akang,,,FALSE
4778,tatak₃,verb,to chop something for someone at someone's request,,,,,,,,,,,,,,,,,,,tatak akang,,,FALSE
4779,tatak₄,verb,to chop something at someone's request,,,,,,,,,,,,,,,,,,,batatak-tatak,,,FALSE
4780,tatak₅,intransitive verb,to occupy someone with chopping or notching repeatedly and without purpose,,,,,,,,,,,,,,,,,,,batata-tatak,,,FALSE
4781,tatak₆,intransitive verb,to be characterized by scattered piles of scraps and chips,,,,,,,,,,,,,,,,,,,hatatak,,,FALSE
4782,tatak₇,intransitive verb,"chopped, nicked, notched",meja tu tala natatak de tiola,The table is nicked (esp.) on its legs.,,,,,,,,,,,,,,,,,natata-tatak,,,FALSE
4783,tatak₈,intransitive verb,chopped and nicked severely (all over),,,,,,,,,,,,,,,,,,,,,,FALSE
4784,tatambola,noun,"kind of fish, incl. archer fish",,,,,,,,,,,,,Toxotidae,,,fish,,,,"tatambola buaya \df kind of fish, Waites pipe-fish, \sn Corythoichthys intestinalis waitei \sf  fish",,FALSE
4785,tatampurung,noun,knee-cap,,,,,,,,,,,,,,,,body,,tampurung,,,,FALSE
4786,tatapi,conjunction,but,,,,,,,,,,,,,,,,,Malay,"ke, tapi",,,,FALSE
4787,tatar₁,verb,"to chop with a knife or machete with firm, downward strokes usually on a flat",,,,,,,,,,,,,,,,,,,tatar akang,,,FALSE
4788,tatar₂,verb,to chop something at someone's request,,,,,,,,,,,,,,,,,,,batatar,,,FALSE
4789,tatar₃,intransitive verb,to engage in chopping downward,,,,,,,,,,,,,,,,,,lao tatar,,,,FALSE
4790,tatas₁,verb,to rip something at the seams,danycanaku tala mutatas calanaku yogo ipareai,My sister ripped my trousers apart so,,,,,,,,,,,,,,,,,tatasi,,,FALSE
4791,tatas₂,transitive verb,to rip apart something at the seams for someone,,,,,,,,,,,,,,,,,,,batatas,,,FALSE
4792,tatas₃,intransitive verb,to engage in such sartorial activity,,,,,,,,,,,,,,,,,,,natatas,,,FALSE
4793,tatas₄,intransitive verb,ripped apart (at the seams),,,,,,,,,,,,,,,,,,,,,,FALSE
4794,tatawa₁,verb,to laugh,,,,,,,,,,,,,,,,,,,tatawai,,,FALSE
4795,tatawa₂,verb,to laugh at someone,Ia mutatawai aku.,He laughed at me.,,,,,,,,,,,,,,,,,,,,FALSE
4796,tatinggir₁,,,,,,,,,,,,,,,,,,,,,tatinggir akang,,,FALSE
4797,tatinggir₂,transitive verb,"to make something perch, to get a bird or monkey to perch",,,,,,,,,,,,,,,,,,,batatinggir,,,FALSE
4798,tatinggir₃,intransitive verb,"to perch (of birds, etc.), to sit on an edge or ledge",,,,,,,,,,,,,,,,,,,,,,FALSE
4799,tatoal,noun,knife,,,,,,,,,,,,,,,,tool,,peto tatoala,,,,FALSE
4800,tatumbul,,,,,,,,,,,,,,,,,,,,tumbul,,,,FALSE
4801,tatunggar sela,noun,"kind of plant, the chenille plant",,,,,,,,,,,,,Acalypha hispida,,,plant,,,,,,FALSE
4802,tau abi,noun,kind of seaside plant,,,,,,,,,,,,,Pemphis acidula,,,plant,,,,,,FALSE
4803,taugé,noun,beansprouts,,,,,,,,,,,,,Phaseolus aureus,,,plant,,,,,,FALSE
4804,taul₁,,,,,,,,,,,,,,,,,,,,,taul akang,,,FALSE
4805,taul₂,transitive verb,to lean something over a fire to roast it,,,,,,,,,,,,,,,,,,panaulang,,,,FALSE
