no,headword,PoS,definition,example,translation,example.1,translation.1,example.2,translation.2,example.3,translation.3,example.4,translation.4,example.5,translation.5,scientific name,gram category,social context,semantic field,loanword,crm,af,id,Unnamed: 24,Unnamed: 25
1254,fini₁,,,,,,,,,,,,,,,,,,,Malay,,,,,FALSE
1255,fini₂,noun,"seed, esp. for planting",,,,,,,,,,,,,,,,,,bibit,,,,FALSE
1256,fingkal,verb,"to fight someone, to strike or hit someone",,,,,,,,,,,,,,,,,,,,,,FALSE
1257,fis,noun,bicycle,,,,,,,,,,,,,,,archaic,,,,,,,FALSE
1258,fisa,noun,cloth made from bark,,,,,,,,,,,,,,,archaic,,,,,,,FALSE
1259,fitaná₁,noun,"untruth, slander, gossip",,,,,,,,,,,,,,,,,,,,,,FALSE
1260,fitaná₂,verb,"to spread lies, slander or calumny about someone",ia mufitaná si nis,She has spread lies about Nis,,,,,,,,,,,,,,,,,fitaná akang,,,FALSE
1261,fitaná₃,verb,to spread lies about someone,,,,,,,,,,,,,,,,,,,bafitaná,,,FALSE
1262,fitaná₄,intransitive verb,"to lie, to calumniate",,,,,,,,,,,,,,,,,,,,,,FALSE
1263,fofat,verb,to strike someone,,,,,,,,,,,,,,,,,,,,,,FALSE
1264,fofoki,noun,eggplant,,,,,,,,,,,,,Solanum melongena,,,plant,,,,"fofoki ndule \df kind of food consisting of roasted and peeled eggplant, cubed and mixed with coconut cream, ground peanuts and herbs, fofoki tangkoring \df kind of eggplant, the African eggplant, \sn Solanum macrocarpon \sf  plant",,FALSE
1265,fofoyakang,,,,,,,,,,,,,,,,,,,,foya,,,,FALSE
1266,fol,intransitive verb,full,,,,,,,,,,,,,,,casual,,,,,,,FALSE
1267,foloi₁,noun,"extra, excess",kumbuk foloina,I am asking for the excess.,itu foloina barisi,That's way too much extra.,,,,,,,,,,,,,,,,,,FALSE
1268,foloi₂,adverb,"extra, over and above what is required, in addition",Kau mubei doit de ia itu foloi.,You've given money to him over and above what is necessary.,,,,,,,,,,,,,,,,,pafoloi akang,,,FALSE
1269,foloi₃,verb,to give something in excess,pasi muumbuk duriang tu tapafoloi akang hadiki,They asked that we please give an extra amount of durian.,,,,,,,,,,,,,,,,,,,,FALSE
1270,fonai₁,,,,,,,,,,,,,,,,,,,,,bafonai,,,FALSE
1271,fonai₂,intransitive verb,"to fish, esp. for tuna, with a nyjong fonai",,,,,,,,,,,,,,,,,,nyjong fonai,,,,FALSE
1272,fonderen,noun,foundation,,,,,,,,,,,,,,,,,,mesel,,,,FALSE
1273,for,,,,,,,,,,,,,,,,,,,,fur,,,,FALSE
1274,forfél,intransitive verb,"worried, unhappy",,,,,,,,,,,,,,,,,,,,,,FALSE
1275,forno,noun,"oven, esp. for baking bagea cakes",,,,,,,,,,,,,,,,culinary,,,,,,FALSE
1276,forong₁,noun,cookie-cutter,,,,,,,,,,,,,,,,utensil,,,,,,FALSE
1276,forong₂,noun,cookie-cutter,,,,,,,,,,,,,,,,culinary,,,,,,FALSE
1277,forsa,adverb,with great intensity or strength <intensely>,balampo forsa,to walk at high speed,,,,,,,,,,,,,,,,,,,,FALSE
1278,foti₁,verb,"to collect here and there, to rummage",,,,,,,,,,,,,,,,,,,foti-foti,,,FALSE
1279,foti₂,verb,to collect and forage intensively or in large numbers,dadi nampisiang ni pauli kita ka da: tafoti-foti,So tomorrow we can go inland and,,,,,,,,,,,,,,,,,bafoti-foti,,,FALSE
1280,foti₃,intransitive verb,"to engage in collecting or foraging <forage>, to pick (fruit) selectively",,,,,,,,,,,,,,,,,,,,,,FALSE
1281,foya₁,verb,"to lie to someone, to deceive someone",,,,,,,,,,,,,,,,,,,fofoya:kang,,,FALSE
1282,foya₂,verb,to deceive someone at someone's request,,,,,,,,,,,,,,,,,,,bafoya,,,FALSE
1283,foya₃,intransitive verb,to engage in prevarication,,,,,,,,,,,,,,,,,,,foya-foya,,,FALSE
1284,foya₄,intransitive verb,"deceptive, deceitful, false",,,,,,,,,,,,,,,,,,,,,,FALSE
1285,fuku-fuku,noun,"conch shell, esp. used as a trumpet, fam. Strombidae",,,,,,,,,,,,,,,archaic,,,,,,,FALSE
1286,fur₁,preposition,"for, to",pa wahit mubei kos ini ini fur aku,Mr Wahit gave this very T-shirt to me.,,,,,,,,,,,,,,,,,,,,FALSE
1287,fur₂,conjunction,"to, in order to",ma tuka nggaeka ini fur ma jual inycana de babang,He bought these bananas to sell,,,,,,,,,,,,,,,,"bo:, para, untuk",,,,FALSE
1288,fur₃,noun,kind of cloth used for pockets and lining,,,,,,,,,,,,,,,,,,,,,,FALSE
1289,furu,,,,,,,,,,,,,,,,,,,,"furu/k, nonda furu",,,,FALSE
1290,furík₁,adverb,early,,,,,,,,,,,,,,,,,,,furík-furík,,,FALSE
1291,furík₂,adverb,very early,,,,,,,,,,,,,,,,,,,,,,FALSE
1292,futa,verb,"to twist something (fiber) into rope, to deceive someone, to trick someone",ari ni barang ifuta kapé,Today maybe he'll deceive us or what.,,,,,,,,,,,,,,,Malay,,,,,FALSE
1293,fuya,noun,colored thin paper used for making kites and wrapping cakes,,,,,,,,,,,,,,,,,,,,,,FALSE
1294,ga,particle,"even, as well, just, anyway, though",Dang kusangka lao batu ga.,I thought it was a reef fish as well.,Muala ga de ini.,Just take it from here.,barisi mo ke tongo diki ada ga,"Not a large quantity but there is a small portion,",,,,,,,,,,,,,,,,FALSE
1295,ga aming,particle,already,Ala itu ga aming.,"Take that one, already",,,,,,,,,,,,a sentence final particle indicating finality or emphasis,,,,,,,,FALSE
1296,gaca,noun,"kind of fish, the hussar or sea-perch",,,,,,,,,,,,,Lutjanus amabilis,,,fish,,,,,,FALSE
1297,gagal₁,intransitive verb,"to fail, to lose, to be unsuccessful",,,,,,,,,,,,,,,,,,,gagal akang,,,FALSE
1298,gagal₂,verb,to cause something to fail,,,,,,,,,,,,,,,,,,,,,,FALSE
1299,gagang,noun,"the grip or handle of a utensil, the protrusion or curve of a utensil from which it is",,,,,,,,,,,,,,,,,,,,,,FALSE
1300,gagartáng,intransitive verb,"to feel compelled to touch, pinch or squeeze someone attractive (e.g. a well-groomed child,",,,,,,,,,,,,,,,,,,,,,,FALSE
1301,gagaráp,noun,"joke, practical joke",,,,,,,,,,,,,,,,,,,,,,FALSE
1302,gagawang,intransitive verb,startled,Aku gagawang lindur alengone,I was startled by the tremor a few moments agone,,,,,,,,,,,,,,,,,,"gagawang dang \df suddenly \il  Gagawang dang ia sotu.  Suddenly he apppeared in front of us. \il  ompu ruma mukoat mukoat gagawang dang kofo itu binasa tala  The rats gnaw and gnaw and, before you know it, the net is completely ruined., gagawang udara \ps  n \df air-raid \af  gagawangi \ps  v \df to startle someone \af  gagawang akang \ps  v \df to startle someone at someone else's request",,FALSE
1303,gagilamu,noun,"kind of tree, similar to [Gnetum  , used for medicine and powders",,,,,,,,,,,,,,,,plant,,,,,,FALSE
1304,gagu,intransitive verb,to stutter,,,,,,,,,,,,,,,,,,,,,,FALSE
1305,gaguar₁,transitive verb,to awaken someone by shaking violently and shouting,,,,,,,,,,,,,,,,,,,gaguar akang,,,FALSE
1306,gaguar₂,verb,to awaken someone at someone's request,,,,,,,,,,,,,,,,,,gurak,,,,FALSE
1307,gaja,noun,"elephant, fam. Elephantidae, a term used in plant nomenclature to indicate large size",popare gaja,kind of bitter gourd,,,,,,,,,,,,,,,,,,,,FALSE
1308,gaji₁,noun,animal fat,,,,,,,,,,,,,,,,,,,bagaji,,,FALSE
1309,gaji₂,intransitive verb,to be dirty,,,,,,,,,,,,,,,,,,,,,,FALSE
1310,gaji₃,noun,salary,,,,,,,,,,,,,,,,,,,,,,FALSE
1311,gaki₁,noun,"a chunk, esp. a lengthwise quarter of stems, trunks or beams",,,,,,,,,,,,,,,,,,,gaki:,,,FALSE
1312,gaki₂,verb,"to cut something (esp. wood) lengthwise into four portions, to quarter something",,,,,,,,,,,,,,,,,,,gaki akang,,,FALSE
1313,gaki₃,verb,to quarter something at another's request,,,,,,,,,,,,,,,,,,,nagaki,,,FALSE
1314,gaki₄,intransitive verb,"to be cut in lengthwise quarters, to be quartered",,,,,,,,,,,,,,,,,,,hagaki,,,FALSE
1315,gaki₅,noun,"a quarter portion cut lengthwise, esp. of large fish",,,,,,,,,,,,,,,,,,,,,,FALSE
1316,gala₁,noun,"kind of flat drum or tambourine, kind of music played with such an instrument",,,,,,,,,,,,,,,,,,,bagala,,,FALSE
1317,gala₂,intransitive verb,to play such an instrument,,,,,,,,,,,,,,,,,,bota-bota gala ke mo,,,,FALSE
1318,galala monge,,,,,,,,,,,,,,,,,,,,nggaeka,,,,FALSE
1319,galampa,noun,"an open gallery which extends from the house over the river, porch",,,,,,,,,,,,,,,,house,,,,,,FALSE
1320,galampeang₁,intransitive verb,"smoked (in a grill), esp. of fish",,,,,,,,,,,,,,,,,,,,,,FALSE
1321,galampeang₂,noun,smoked fish,,,,,,,,,,,,,,,,culinary,,,,,,FALSE
1322,galang-galang,noun,intestinal worms,,,,,,,,,,,,,,,,,,ngalang-galang,,,,FALSE
1323,galasak,noun,rack of plaited bamboo to sun and salt fish,,,,,,,,,,,,,,,,,,,,galasak manyompo \df a plaited rack on which offerings for spirits are placed <altar> \crm  anycak \sf  utensil \sf  spiritual,,FALSE
1324,gale-gale,noun,intestine,,,,,,,,,,,,,,,,body,,dodomi sagale-gale,sagale gale,,,FALSE
1325,galema,noun,"kind of ray, order Hypotremata",,,,,,,,,,,,,,,,,,,,,,FALSE
1326,ganggu₁,verb,to annoy or tease someone,,,,,,,,,,,,,,,,,,,baganggu,,,FALSE
1327,ganggu₂,intransitive verb,to engage in annoying behavior,,,,,,,,,,,,,,,,,,,,,,FALSE
1328,ganyco₁,noun,gaff,,,,,,,,,,,,,,,,tool,,,,,,FALSE
1328,ganyco₂,noun,gaff,,,,,,,,,,,,,,,,fishing,,,,,,FALSE
1329,garagaji,,,,,,,,,,,,,,,,,,,,gargaji,,,,FALSE
1331,gareja,noun,church,,,,,,,,,,,,,,,,,,,,,,FALSE
1332,gargaji₁,noun,saw,,,,,,,,,,,,,,,,tool,,,,,,FALSE
1333,gargaji₂,verb,to saw something,,,,,,,,,,,,,,,,,,,,,,FALSE
1334,gari-garis,,,,,,,,,,,,,,,,,,,,garis-garis,,,,FALSE
1335,garis-garis,noun,matches,,,,,,,,,,,,,,,,,,,,,,FALSE
1336,garnát,,,,,,,,,,,,,,,,,,,,grana/t,,,,FALSE
1338,garpu₁,noun,"fork, rake, harrow, pitchfork",,,,,,,,,,,,,,,,utensil,,,,,,FALSE
1338,garpu₂,noun,"fork, rake, harrow, pitchfork",,,,,,,,,,,,,,,,tool,,,,,,FALSE
1339,garu,verb,"to scratch, to stir (sago porridge, etc.)",,,,,,,,,,,,,,,,,,,,garu rica \df kind of culinary preparation in which fish is cooked in a sauce of chile peppers \crm  lampa/ng garu \af  bagagaru \ps  vi \df to scratch and peck (of fowl) \af  garu-garu \ps  n \df rake \sf  tool,,FALSE
1340,garubung,noun,shield,,,,,,,,,,,,,,,,,,,,,,FALSE
1341,garák,intransitive verb,"to experience a sudden surge of desire, to feel an emotion of desire or lust for",bini-bini haiku ni nyawaku garák ke mo,How could I not have feelings of desire for,,,,,,,,,,,,,,,,,,,,FALSE
1342,gasi₁,noun,salt,,,,,,,,,,,,,,,,,,,bagasi,,,FALSE
1343,gasi₂,intransitive verb,to be salted,,,,,,,,,,,,,,,,food,,,,,,FALSE
1344,gasili,noun,"kind of fish, the Pike conger, <eel>",,,,,,,,,,,,,Muraenesox cinereus,,,fish,,,,,,FALSE
