hw,ps,df,il,gc,crm,sc,sf,id,df.,lw
alinang kalo,n,k.o. *snake; probably the *flat~sea~snake; [%*Pelamis~platurus|],,,ular,,sea creature,,,
alinggoi,n,k.o. *lizard; perhaps [%*Mabouya~multifasciata|] ; k.o. lizard; perhaps a *chameleon; [%*Calotes~|sp.],,,,,animal,,,
alintangang,n,the cross-*beam supporting ceiling boards,,,lintang,,house,,,
aliofa,n,k.o. large; pink *fish; remarkable for its long tongue,,,,,fish,,,
Allah,n,*God,,,alahumadafa/ ; insallah ; ompu lahtala ; ya ala ; ya ilahi,,,,,
almanangkir,n,the two *angel|s who question the spirit of the dead,,,mungkar ; nakir ; malaekat,,spiritual,,,
almank,n,*calendar,,,tanggal,,,,,
almarhm,n,the *deceased; the *late ; a sobriquet attached to the name of the dead,almarhm pa umar| Mr. Umar; the deceased,,mati-mati ; aruaha,,,,,
alolang,n,*twine (esp. o. made of palm fiber),,,,,,,,
alolong,,,,,datuk,,,,,
alu,n,*mortar,,,,,,,,
alu-alu,n,k.o. *fish; *barracuda; [%*Agrioposphyranea~barracuda|]; possibly,,,,,fish,,,
alu-alungang,n,*wave,,,suru-surung,,nat phen,,,
alus,vi,*small; *fine,,,,,,,,
alus,n,very fine *substance; *particle; *dust ; the *small one,,,,,,,,
alus,vi,very fine; extremely small,ujang alu-alus| a very light shower,,,,,,,
aman,vi,*peaceful; at peace,jadi rencana alengo itu gagal karna tala aman | Thus; that plan of theirs failed because it,,,,,,,
amas,n,*gold,,,,,,,,
amas tampawang,,,,,mas tampawang,,,,,
amasing kali,n,a *village somewhat inland from Labuha's north side,,,,,place name,,,
amasing kota,n,the northeastern side of Labuha; where most Bacan speakers reside,,,,,place name,,,
ambasaya,n,*peasant; *common~*folk (without a palace rank),,,,Arch,society,,,
ambat,v,to erect *obstruct|ions; to *dam a river ; to *cast a net (in order to block a school of fish) in a certain direction,Ambat ka kairi | Cast lefthand,,,,,,,
ambat,v,to *obstruct s.t.,,,,,,,,
ambat,n,sago *midrib|s added to the sides of a boat to *deflect waves; a temporary *strake ; any *obstruction; temporary door; etc.,,,,,sailing,,,
ambaya,conj,*when; at the time that; at the beginning,Ambaya ujang pasi batodu de jojaga. |When it began to rain; they sought shelter in a ; ambaya motor itu kapo de ini; kami barikang| When the motorboat arrives here; we will,,,,,,,
ambon,n,an island; *Ambon,,,,,,,,
